Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    109     91.774      6.334		0.31467949913026405 | 0.7323258087671446

 R  10 G 292    109     96.758      3.981		0.07284681919260083 | 0.0

 R  10 G 293    107     96.462      3.859		0.04284681919260083 | 0.01

 R  10 G 294    111     96.852      3.922		0.04284681919260083 | 0.01

 R  10 G 295    109     96.796      4.055		0.052846819192600834 | 0.01

 R  10 G 296    107      96.92      3.934		0.04284681919260083 | 0.01

 R  10 G 297    111     96.518      3.985		0.03284681919260083 | 0.02

 R  10 G 298    107     96.656      3.776		0.06284681919260084 | 0.01

 R  10 G 299    109     96.558       3.95		0.07284681919260083 | 0.0

 R  10 G 300    109     96.688      3.915		0.04284681919260083 | 0.0

 R  10 G 301    109     96.948      4.064		0.04284681919260083 | 0.01

 R  10 G 302    113     96.782      4.084		0.03284681919260083 | 0.01

 R  10 G 303    109     96.532      3.977		0.04284681919260083 | 0.02

 R  10 G 304    107     96.592      4.014		0.052846819192600834 | 0.01

 R  10 G 305    107     96.858      3.852		0.04284681919260083 | 0.01

 R  10 G 306    109     96.778      3.969		0.03284681919260083 | 0.01

 R  10 G 307    109     96.842      3.899		0.052846819192600834 | 0.01

 R  10 G 308    109     96.842      3.995		0.04284681919260083 | 0.01

 R  10 G 309    109     96.996      3.868		0.07284681919260083 | 0.0

 R  10 G 310    111     96.898      3.801		0.052846819192600834 | 0.01

 R  10 G 311    109     96.722      3.922		0.052846819192600834 | 0.01

 R  10 G 312    107     96.536      3.813		0.052846819192600834 | 0.0

 R  10 G 313    109     96.792      3.927		0.052846819192600834 | 0.0

 R  10 G 314    111     96.826       4.04		0.052846819192600834 | 0.0

 R  10 G 315    107      96.81      3.938		0.052846819192600834 | 0.01

 R  10 G 316    109     96.826      4.127		0.052846819192600834 | 0.01

 R  10 G 317    109     96.656      3.941		0.052846819192600834 | 0.01

 R  10 G 318    109      96.53      4.034		0.04284681919260083 | 0.0

 R  10 G 319    109     96.884      3.984		0.03284681919260083 | 0.01

 R  10 G 320    111     96.884      3.931		0.052846819192600834 | 0.0

 R  10 G 321    109     96.838      3.834		0.03284681919260083 | 0.01

 R  10 G 322    107     96.802      3.955		0.06284681919260084 | 0.01

 R  10 G 323    109     96.808      3.882		0.07284681919260083 | 0.0

 R  10 G 324    111      96.74      3.864		0.052846819192600834 | 0.01

 R  10 G 325    111      96.84      3.931		0.052846819192600834 | 0.01

 R  10 G 326    107     96.848      3.969		0.03284681919260083 | 0.0

 R  10 G 327    109     96.734      3.916		0.06284681919260084 | 0.01

 R  10 G 328    109      96.87      3.971		0.04284681919260083 | 0.01

 R  10 G 329    109     96.808      3.907		0.04284681919260083 | 0.01

 R  10 G 330    107      96.65      3.732		0.04284681919260083 | 0.0

 R  10 G 331    107     96.576       4.01		0.04284681919260083 | 0.01

 R  10 G 332    107     96.682      3.876		0.06284681919260084 | 0.01

 R  10 G 333    109      96.79      4.023		0.03284681919260083 | 0.0

 R  10 G 334    107     96.932      3.833		0.04284681919260083 | 0.01

 R  10 G 335    111     96.864      3.924		0.03284681919260083 | 0.01

 R  10 G 336    109      96.74      4.021		0.052846819192600834 | 0.01

 R  10 G 337    107     96.836      3.918		0.04284681919260083 | 0.01

 R  10 G 338    109      96.58      4.025		0.052846819192600834 | 0.01

 R  10 G 339    109     96.826       3.89		0.052846819192600834 | 0.0

 R  10 G 340    109     96.832      4.018		0.04284681919260083 | 0.01

 R  10 G 341    107     96.788       3.95		0.04284681919260083 | 0.0

 R  10 G 342    109     96.756      3.948		0.04284681919260083 | 0.02

 R  10 G 343    107     96.664       3.71		0.06284681919260084 | 0.0

 R  10 G 344    109     96.964      3.995		0.04284681919260083 | 0.01

 R  10 G 345    109     96.842      3.971		0.04284681919260083 | 0.01

 R  10 G 346    109     96.734      3.892		0.04284681919260083 | 0.01

 R  10 G 347    109     96.768      3.867		0.04284681919260083 | 0.01

 R  10 G 348    111      96.68      4.041		0.052846819192600834 | 0.0

 R  10 G 349    107      96.53      3.932		0.03284681919260083 | 0.01

 R  10 G 350    107     96.692      4.023		0.04284681919260083 | 0.01

 R  10 G 351    109      96.53      3.939		0.04284681919260083 | 0.0

 R  10 G 352    109     97.226      3.844		0.07284681919260083 | 0.01

 R  10 G 353    109     97.012      3.994		0.04284681919260083 | 0.02

 R  10 G 354    111     96.794       4.07		0.052846819192600834 | 0.01

 R  10 G 355    109     96.866      3.737		0.03284681919260083 | 0.0

 R  10 G 356    109     96.822      3.781		0.03284681919260083 | 0.01

 R  10 G 357    111     96.674      4.014		0.04284681919260083 | 0.01

 R  10 G 358    111     96.924      3.914		0.04284681919260083 | 0.02

 R  10 G 359    109      96.51      3.945		0.06284681919260084 | 0.01

 R  10 G 360    107     96.776      3.928		0.04284681919260083 | 0.01

 R  10 G 361    111     96.862       4.02		0.03284681919260083 | 0.01

 R  10 G 362    107     96.726      3.782		0.04284681919260083 | 0.01

 R  10 G 363    107     96.694        3.9		0.052846819192600834 | 0.0

 R  10 G 364    107      96.85      3.973		0.06284681919260084 | 0.01

 R  10 G 365    109     96.944      3.998		0.08284681919260083 | 0.01

 R  10 G 366    109     97.082      3.909		0.052846819192600834 | 0.0

 R  10 G 367    109     96.676      4.023		0.06284681919260084 | 0.01

 R  10 G 368    109     96.952      3.998		0.06284681919260084 | 0.0

 R  10 G 369    109     96.892      3.897		0.06284681919260084 | 0.0

 R  10 G 370    109     96.738      3.998		0.03284681919260083 | 0.01

 R  10 G 371    109     96.718      4.019		0.052846819192600834 | 0.0

 R  10 G 372    107      96.69      3.815		0.03284681919260083 | 0.01

 R  10 G 373    111     96.684      3.996		0.04284681919260083 | 0.02

 R  10 G 374    109     96.638       3.82		0.052846819192600834 | 0.0

 R  10 G 375    109      96.75      4.059		0.03284681919260083 | 0.01

 R  10 G 376    109     96.774      3.916		0.03284681919260083 | 0.01

 R  10 G 377    107      96.68      3.833		0.04284681919260083 | 0.02

 R  10 G 378    109     96.424      3.866		0.06284681919260084 | 0.01

 R  10 G 379    109      96.47      3.955		0.052846819192600834 | 0.01

 R  10 G 380    109     96.656      3.994		0.04284681919260083 | 0.02

 R  10 G 381    107     96.744      3.844		0.052846819192600834 | 0.0

 R  10 G 382    109     96.542      4.071		0.052846819192600834 | 0.0

 R  10 G 383    109      96.95       3.85		0.08284681919260083 | 0.01

 R  10 G 384    107     96.598      3.984		0.06284681919260084 | 0.01

 R  10 G 385    111      96.73      3.991		0.03284681919260083 | 0.02

 R  10 G 386    109     96.634       4.08		0.06284681919260084 | 0.0

 R  10 G 387    111     96.764      3.972		0.08284681919260083 | 0.0

 R  10 G 388    109      96.54      4.015		0.10284681919260082 | 0.01

 R  10 G 389    107     96.842      3.974		0.08284681919260083 | 0.0

 R  10 G 390    109      96.76      3.947		0.06284681919260084 | 0.01

 R  10 G 391    109     96.794        4.0		0.06284681919260084 | 0.01

 R  10 G 392    109     96.906      4.005		0.08284681919260083 | 0.0

 R  10 G 393    107       96.8      3.972		0.052846819192600834 | 0.01

 R  10 G 394    109      96.82      3.915		0.06284681919260084 | 0.0

 R  10 G 395    111     96.592      4.002		0.06284681919260084 | 0.0

 R  10 G 396    109     96.496      3.916		0.08284681919260083 | 0.0

 R  10 G 397    109     96.852      4.032		0.08284681919260083 | 0.0

 R  10 G 398    107      96.72      3.797		0.03284681919260083 | 0.0

 R  10 G 399    109     96.644       3.93		0.08284681919260083 | 0.0

 R  10 G 400    107      96.52      3.884		0.10284681919260082 | 0.01

 R  10 G 401    109     96.786      4.023		0.10284681919260082 | 0.01

 R  10 G 402    109     96.858      4.037		0.06284681919260084 | 0.0

 R  10 G 403    107     96.728      3.882		0.10284681919260082 | 0.01

 R  10 G 404    109      96.89      3.948		0.08284681919260083 | 0.0

 R  10 G 405    107     96.798      4.026		0.06284681919260084 | 0.0

 R  10 G 406    107     96.644      3.778		0.08284681919260083 | 0.0

 R  10 G 407    109     96.886      4.041		0.07284681919260083 | 0.0

 R  10 G 408    107     96.984      3.872		0.04284681919260083 | 0.03

 R  10 G 409    109     96.984      3.941		0.02284681919260083 | 0.01

 R  10 G 410    109     96.748      3.921		0.08284681919260083 | 0.0

 R  10 G 411    109     96.714       3.85		0.07284681919260083 | 0.0

 R  10 G 412    109     96.748      3.929		0.03284681919260083 | 0.01

 R  10 G 413    107     96.842      3.959		0.03284681919260083 | 0.01

 R  10 G 414    109     96.768      4.105		0.10284681919260082 | 0.01

 R  10 G 415    109     96.684      3.944		0.052846819192600834 | 0.0

 R  10 G 416    109      96.78      3.895		0.03284681919260083 | 0.01

 R  10 G 417    109     96.778      3.901		0.06284681919260084 | 0.01

 R  10 G 418    109     96.834       3.92		0.06284681919260084 | 0.0

 R  10 G 419    107      96.86      3.746		0.06284681919260084 | 0.0

 R  10 G 420    109      96.93      3.883		0.06284681919260084 | 0.0

 R  10 G 421    109     96.738      3.889		0.02284681919260083 | 0.01

 R  10 G 422    107      96.85      3.765		0.052846819192600834 | 0.01

 R  10 G 423    109     96.882      3.837		0.052846819192600834 | 0.01

 R  10 G 424    109     96.872       4.03		0.012846819192600828 | 0.01

 R  10 G 425    107     96.822      3.832		0.052846819192600834 | 0.0

 R  10 G 426    113     96.962      3.846		0.03284681919260083 | 0.01

 R  10 G 427    107     96.786      4.005		0.03284681919260083 | 0.01

 R  10 G 428    109     96.738      3.915		0.10284681919260082 | 0.01

 R  10 G 429    109     96.728      3.753		0.08284681919260083 | 0.0

 R  10 G 430    107     97.008      3.854		0.03284681919260083 | 0.01

 R  10 G 431    107     96.696      3.899		0.02284681919260083 | 0.01

 R  10 G 432    109     96.902      3.916		0.06284681919260084 | 0.0

 R  10 G 433    107     96.796      3.817		0.06284681919260084 | 0.0

 R  10 G 434    113      96.82      3.828		0.06284681919260084 | 0.01

 R  10 G 435    107     96.814      3.902		0.03284681919260083 | 0.0

 R  10 G 436    109     96.812      3.905		0.052846819192600834 | 0.01

 R  10 G 437    109     96.702      3.971		0.08284681919260083 | 0.01

 R  10 G 438    109     96.906       3.89		0.06284681919260084 | 0.01

 R  10 G 439    109     96.622      3.842		0.052846819192600834 | 0.0

 R  10 G 440    107     96.696      3.867		0.06284681919260084 | 0.0

 R  10 G 441    109     96.704      3.915		0.06284681919260084 | 0.02

 R  10 G 442    107     96.892      3.867		0.06284681919260084 | 0.0

 R  10 G 443    109     96.602      3.916		0.06284681919260084 | 0.0

 R  10 G 444    109     96.588      4.061		0.03284681919260083 | 0.0

 R  10 G 445    109     96.756      3.978		0.03284681919260083 | 0.0

 R  10 G 446    107     96.602      3.872		0.06284681919260084 | 0.02

 R  10 G 447    109     96.504      3.874		0.06284681919260084 | 0.02

 R  10 G 448    109      96.75      4.043		0.03284681919260083 | 0.0

 R  10 G 449    107     96.764      3.886		0.06284681919260084 | 0.01

 R  10 G 450    109     96.722      3.958		0.06284681919260084 | 0.02

 R  10 G 451    109      96.88      3.979		0.03284681919260083 | 0.0

 R  10 G 452    111     96.576       3.91		0.06284681919260084 | 0.02

 R  10 G 453    109     96.572       3.79		0.02284681919260083 | 0.01

 R  10 G 454    109      96.83      3.892		0.06284681919260084 | 0.02

 R  10 G 455    109     96.718      3.905		0.06284681919260084 | 0.0

 R  10 G 456    109      96.83      3.884		0.06284681919260084 | 0.02

 R  10 G 457    109     96.842      3.962		0.07284681919260083 | 0.0

 R  10 G 458    107     96.754      3.826		0.06284681919260084 | 0.02

 R  10 G 459    109     96.744      3.854		0.06284681919260084 | 0.02

 R  10 G 460    109     96.924      3.768		0.06284681919260084 | 0.02

 R  10 G 461    109     96.782       3.92		0.02284681919260083 | 0.01

 R  10 G 462    109     96.724      3.907		0.02284681919260083 | 0.01

 R  10 G 463    107     96.566      3.871		0.06284681919260084 | 0.02

 R  10 G 464    109     96.736      3.886		0.06284681919260084 | 0.02

 R  10 G 465    109      96.94      3.969		0.06284681919260084 | 0.02

 R  10 G 466    111     96.802      3.809		0.02284681919260083 | 0.01

 R  10 G 467    109     96.634      3.852		0.06284681919260084 | 0.02

 R  10 G 468    109      96.94      3.813		0.06284681919260084 | 0.02

 R  10 G 469    111     96.876      3.883		0.06284681919260084 | 0.0

 R  10 G 470    111     96.858        4.0		0.06284681919260084 | 0.02

 R  10 G 471    109     96.686      3.812		0.06284681919260084 | 0.0

 R  10 G 472    107     96.742      3.885		0.06284681919260084 | 0.02

 R  10 G 473    109     96.782        3.9		0.06284681919260084 | 0.03

 R  10 G 474    109     96.792      3.691		0.04284681919260083 | 0.0

 R  10 G 475    111     96.636      4.095		0.06284681919260084 | 0.02

 R  10 G 476    109     96.602      3.949		0.06284681919260084 | 0.02

 R  10 G 477    107     96.568      3.791		0.06284681919260084 | 0.02

 R  10 G 478    107     96.694      3.952		0.052846819192600834 | 0.01

 R  10 G 479    107     96.746      3.989		0.06284681919260084 | 0.02

 R  10 G 480    109      96.76      3.793		0.03284681919260083 | 0.01

 R  10 G 481    109     96.586      3.948		0.06284681919260084 | 0.02

 R  10 G 482    109     96.456      3.948		0.04284681919260083 | 0.0

 R  10 G 483    111     96.596      4.018		0.06284681919260084 | 0.01

 R  10 G 484    111     96.878      3.854		0.07284681919260083 | 0.02

 R  10 G 485    109     96.902      3.832		0.06284681919260084 | 0.02

 R  10 G 486    107     96.476      3.847		0.03284681919260083 | 0.01

 R  10 G 487    107     96.856      3.749		0.07284681919260083 | 0.02

 R  10 G 488    109     96.934      3.989		0.06284681919260084 | 0.02

 R  10 G 489    107     96.714      3.939		0.06284681919260084 | 0.02

 R  10 G 490    107     96.618      3.675		0.02284681919260083 | 0.01

 R  10 G 491    109     96.832      3.815		0.02284681919260083 | 0.02

 R  10 G 492    109     96.902       3.85		0.06284681919260084 | 0.02

 R  10 G 493    109      96.65      3.919		0.06284681919260084 | 0.02

 R  10 G 494    107     96.706      3.924		0.06284681919260084 | 0.0

 R  10 G 495    109     96.806       3.97		0.03284681919260083 | 0.0

 R  10 G 496    111     96.842      3.724		0.06284681919260084 | 0.02

 R  10 G 497    109      96.78      3.925		0.02284681919260083 | 0.0

 R  10 G 498    111      96.86      3.837		0.02284681919260083 | 0.02

 R  10 G 499    109     96.844      3.947		0.06284681919260084 | 0.02

10    17###########        0.0 RawFitness
           0          0          117

 R  11 G   0    115     91.888      6.595		0.26330257551090464 | 0.9734008888528729

 R  11 G   1    113      92.39      6.729		0.46430498354559924 | 0.7971025352906963

 R  11 G   2    113     92.968      6.636		0.5024476914480389 | 0.4632332440895707

 R  11 G   3    115     92.546      6.809		0.5573432772330197 | 0.10668976975012456

 R  11 G   4    115     93.476      6.261		0.17357160716334596 | 0.8625206422650369

 R  11 G   5    115     93.866      5.985		0.38633771333947897 | 0.3320154366778595

 R  11 G   6    117     94.116      5.862		0.2155629578848567 | 0.2382600744890404

 R  11 G   7    111     94.606      5.831		0.18136770666849533 | 0.4625019419754023

 R  11 G   8    115     94.788       5.69		0.18136770666849533 | 0.4725019419754023

 R  11 G   9    111     94.614      5.852		0.13581793345633908 | 0.13456649660504572

 R  11 G  10    111     95.108      5.281		0.38633771333947897 | 0.3320154366778595

 R  11 G  11    113      95.37      5.179		0.2319028347373444 | 0.531058645866338

 R  11 G  12    111     95.372      5.064		0.1788306737077182 | 0.182058101508343

 R  11 G  13    111     95.558      5.095		0.19982766146035902 | 0.003292143658622737

 R  11 G  14    111      95.52      4.911		0.0010796559787263904 | 0.1411261336886912

 R  11 G  15    109       95.9      4.918		0.20982766146035903 | 0.003292143658622737

 R  11 G  16    117      95.84      4.889		0.1788306737077182 | 0.19205810150834302

 R  11 G  17    109     95.928      4.709		0.5573432772330197 | 0.10668976975012456

 R  11 G  18    111     96.148      4.865		0.1458179334563391 | 0.12456649660504572

 R  11 G  19    115     96.354      4.684		0.19982766146035902 | 0.003292143658622737

 R  11 G  20    109     95.898      4.586		0.03994580098778299 | 0.017514556616471166

 R  11 G  21    109     96.022      4.524		0.19982766146035902 | 0.0

 R  11 G  22    111     96.206      4.483		0.0010796559787263904 | 0.1411261336886912

 R  11 G  23    111     96.406      4.357		0.0 | 0.1411261336886912

 R  11 G  24    111     96.334      4.254		0.19982766146035902 | 0.003292143658622737

 R  11 G  25    107      96.69        4.2		0.06512579859244916 | 0.15141630113383064

 R  11 G  26    109     96.712      4.296		0.07703970319300313 | 0.22711648328066536

 R  11 G  27    109     96.498      4.081		0.06512579859244916 | 0.15141630113383064

 R  11 G  28    111     96.362      4.247		0.189827661460359 | 0.003292143658622737

 R  11 G  29    111     96.614      4.342		0.0010796559787263904 | 0.1411261336886912

 R  11 G  30    109       96.5        4.1		0.09632975679967426 | 0.010327644576466954

 R  11 G  31    107     96.522      4.167		0.19982766146035902 | 0.003292143658622737

 R  11 G  32    109     96.348      4.265		0.19982766146035902 | 0.0

 R  11 G  33    111     96.312      4.222		0.0010796559787263904 | 0.1411261336886912

 R  11 G  34    111     96.394      4.315		0.0010796559787263904 | 0.1411261336886912

 R  11 G  35    111     96.404      4.359		0.01107965597872639 | 0.1411261336886912

 R  11 G  36    109      96.26      4.221		0.09632975679967426 | 0.010327644576466954

 R  11 G  37    111     96.526      4.441		0.0010796559787263904 | 0.1411261336886912

 R  11 G  38    109     96.522      4.337		0.189827661460359 | 0.003292143658622737

 R  11 G  39    111     96.536      4.427		0.09632975679967426 | 0.010327644576466954

 R  11 G  40    109     96.428       4.22		0.01107965597872639 | 0.1411261336886912

 R  11 G  41    111      96.51      4.401		0.20982766146035903 | 0.003292143658622737

 R  11 G  42    113     96.168      4.272		0.19982766146035902 | 0.003292143658622737

 R  11 G  43    111     96.522      4.077		0.0010796559787263904 | 0.1411261336886912

 R  11 G  44    111     96.264      4.327		0.19982766146035902 | 0.003292143658622737

 R  11 G  45    113     96.628      4.248		0.19982766146035902 | 0.003292143658622737

 R  11 G  46    111      96.54      4.238		0.08632975679967426 | 3.2764457646695423E-4

 R  11 G  47    107      96.57      4.137		0.0010796559787263904 | 0.1411261336886912

 R  11 G  48    111     96.524      4.272		0.09632975679967426 | 0.010327644576466954

 R  11 G  49    111     96.548      4.169		0.0010796559787263904 | 0.1511261336886912

 R  11 G  50    109     96.386        4.2		0.09632975679967426 | 0.010327644576466954

 R  11 G  51    109     96.718      4.205		0.01107965597872639 | 0.1411261336886912

 R  11 G  52    107     96.582      4.126		0.09632975679967426 | 0.010327644576466954

 R  11 G  53    109     96.562      4.114		0.19982766146035902 | 0.003292143658622737

 R  11 G  54    111     96.686      4.065		0.08632975679967426 | 0.010327644576466954

 R  11 G  55    109     96.558      4.035		0.10632975679967425 | 0.020327644576466956

 R  11 G  56    111     96.654      3.999		0.0010796559787263904 | 0.1411261336886912

 R  11 G  57    107     96.636      4.119		0.0010796559787263904 | 0.1411261336886912

 R  11 G  58    107     96.672      4.063		0.09632975679967426 | 0.010327644576466954

 R  11 G  59    107      96.62      4.061		0.01107965597872639 | 0.1411261336886912

 R  11 G  60    111     96.472      4.009		0.0010796559787263904 | 0.1411261336886912

 R  11 G  61    111     96.524      4.064		0.09632975679967426 | 0.0

 R  11 G  62    109     96.724      4.095		0.09632975679967426 | 0.020327644576466956

 R  11 G  63    109     96.584       3.97		0.09632975679967426 | 0.0

 R  11 G  64    107     96.678      3.936		0.09632975679967426 | 0.020327644576466956

 R  11 G  65    107      96.79      3.914		0.022232093380085804 | 0.003377354609387151

 R  11 G  66    109     96.704      4.022		0.10632975679967425 | 0.010327644576466954

 R  11 G  67    111     96.802      3.977		0.09632975679967426 | 0.0

 R  11 G  68    109      96.71      3.839		0.10632975679967425 | 0.010327644576466954

 R  11 G  69    111     96.802      4.013		0.09632975679967426 | 0.0

 R  11 G  70    109     96.822       3.98		0.10632975679967425 | 0.010327644576466954

 R  11 G  71    107     96.916      3.999		0.19982766146035902 | 0.003292143658622737

 R  11 G  72    109      96.57      3.914		0.10632975679967425 | 3.2764457646695423E-4

 R  11 G  73    109     96.786      4.006		0.10632975679967425 | 0.010327644576466954

 R  11 G  74    107     96.702      3.905		0.10632975679967425 | 0.020327644576466956

 R  11 G  75    107     96.796      3.847		0.10632975679967425 | 0.010327644576466954

 R  11 G  76    107     96.728      3.931		0.10632975679967425 | 3.2764457646695423E-4

 R  11 G  77    109      96.76      3.904		0.09632975679967426 | 0.010327644576466954

 R  11 G  78    109     96.794      3.821		0.012232093380085804 | 0.003377354609387151

 R  11 G  79    109     96.722      3.821		0.10632975679967425 | 3.2764457646695423E-4

 R  11 G  80    111     96.758      3.851		0.10632975679967425 | 3.2764457646695423E-4

 R  11 G  81    111      97.03      3.875		0.10632975679967425 | 3.2764457646695423E-4

 R  11 G  82    107     96.646      3.773		0.022232093380085804 | 0.0

 R  11 G  83    109     96.832      3.762		0.10632975679967425 | 0.010327644576466954

 R  11 G  84    107     96.778      3.862		0.012232093380085804 | 0.003377354609387151

 R  11 G  85    109      97.08       3.84		0.012232093380085804 | 0.01

 R  11 G  86    111     97.026      3.618		0.09632975679967426 | 0.020327644576466956

 R  11 G  87    109     96.736      3.722		0.09632975679967426 | 0.020327644576466956

 R  11 G  88    107     96.802      3.782		0.10632975679967425 | 0.020327644576466956

 R  11 G  89    107     96.974      3.928		0.022232093380085804 | 0.0

 R  11 G  90    109     96.894      3.755		0.09632975679967426 | 0.020327644576466956

 R  11 G  91    107       96.9      3.675		0.032232093380085806 | 0.003377354609387151

 R  11 G  92    109     96.948      3.729		0.10632975679967425 | 0.010327644576466954

 R  11 G  93    107     96.954        3.6		0.032232093380085806 | 0.003377354609387151

 R  11 G  94    107     97.062      3.591		0.10632975679967425 | 0.010327644576466954

 R  11 G  95    107     96.956       3.85		0.032232093380085806 | 0.003377354609387151

 R  11 G  96    109     96.858       3.66		0.012232093380085804 | 0.01

 R  11 G  97    105     96.996      3.551		0.022232093380085804 | 0.003377354609387151

 R  11 G  98    107     96.912      3.729		0.032232093380085806 | 0.003377354609387151

 R  11 G  99    107     96.868      3.671		0.10632975679967425 | 0.010327644576466954

 R  11 G 100    107     96.816      3.676		0.012232093380085804 | 0.0

 R  11 G 101    107     96.664      3.676		0.022232093380085804 | 0.003377354609387151

 R  11 G 102    107     96.804      3.798		0.012232093380085804 | 0.01

 R  11 G 103    107     97.036      3.712		0.022232093380085804 | 0.003377354609387151

 R  11 G 104    107     96.966      3.682		0.022232093380085804 | 0.013377354609387151

 R  11 G 105    107     97.004      3.716		0.022232093380085804 | 0.0

 R  11 G 106    107     96.726      3.596		0.012232093380085804 | 0.01

 R  11 G 107    107     96.964      3.574		0.022232093380085804 | 0.0

 R  11 G 108    109     97.114      3.661		0.022232093380085804 | 0.013377354609387151

 R  11 G 109    107      96.79      3.608		0.022232093380085804 | 0.0

 R  11 G 110    109     96.738      3.642		0.022232093380085804 | 0.0

 R  11 G 111    107     96.856      3.774		0.022232093380085804 | 0.0

 R  11 G 112    107      96.74      3.737		0.022232093380085804 | 0.0

 R  11 G 113    107     97.102      3.724		0.022232093380085804 | 0.003377354609387151

 R  11 G 114    107     96.894      3.668		0.022232093380085804 | 0.0

 R  11 G 115    109     96.982      3.648		0.032232093380085806 | 0.0

 R  11 G 116    105     96.658      3.534		0.022232093380085804 | 0.0

 R  11 G 117    109     96.874      3.589		0.022232093380085804 | 0.003377354609387151

 R  11 G 118    107     96.964      3.709		0.032232093380085806 | 0.003377354609387151

 R  11 G 119    109     96.754      3.533		0.022232093380085804 | 0.003377354609387151

 R  11 G 120    105     97.126      3.601		0.022232093380085804 | 0.0

 R  11 G 121    107     97.042      3.716		0.022232093380085804 | 0.003377354609387151

 R  11 G 122    107     96.956      3.535		0.022232093380085804 | 0.0

 R  11 G 123    107     97.052      3.566		0.022232093380085804 | 0.013377354609387151

 R  11 G 124    107     96.854      3.759		0.022232093380085804 | 0.0

 R  11 G 125    107     96.892      3.764		0.022232093380085804 | 0.0

 R  11 G 126    109     96.832      3.663		0.022232093380085804 | 0.0

 R  11 G 127    107     97.064      3.659		0.022232093380085804 | 0.0

 R  11 G 128    109     96.948      3.812		0.022232093380085804 | 0.02337735460938715

 R  11 G 129    107     96.688      3.561		0.05223209338008581 | 0.003377354609387151

 R  11 G 130    107      96.96      3.694		0.022232093380085804 | 0.0

 R  11 G 131    107     96.894      3.691		0.022232093380085804 | 0.02337735460938715

 R  11 G 132    107     96.874      3.806		0.05223209338008581 | 0.003377354609387151

 R  11 G 133    107     96.852      3.752		0.022232093380085804 | 0.003377354609387151

 R  11 G 134    109       97.0      3.621		0.032232093380085806 | 0.003377354609387151

 R  11 G 135    109     96.898      3.605		0.022232093380085804 | 0.02337735460938715

 R  11 G 136    105     96.858      3.603		0.05223209338008581 | 0.003377354609387151

 R  11 G 137    107     96.836      3.645		0.032232093380085806 | 0.01

 R  11 G 138    111     97.026      3.758		0.032232093380085806 | 0.01

 R  11 G 139    107     96.772      3.829		0.022232093380085804 | 0.003377354609387151

 R  11 G 140    107     96.926      3.759		0.022232093380085804 | 0.0

 R  11 G 141    107     96.908      3.809		0.022232093380085804 | 0.0

 R  11 G 142    107     96.572      3.741		0.022232093380085804 | 0.0

 R  11 G 143    107      97.02      3.713		0.012232093380085804 | 0.01

 R  11 G 144    109     97.194      3.568		0.032232093380085806 | 0.003377354609387151

 R  11 G 145    107      96.87      3.771		0.032232093380085806 | 0.01

 R  11 G 146    109     97.074      3.692		0.022232093380085804 | 0.003377354609387151

 R  11 G 147    113     96.792      3.665		0.032232093380085806 | 0.003377354609387151

 R  11 G 148    107     96.864      3.853		0.022232093380085804 | 0.003377354609387151

 R  11 G 149    107     96.762      3.686		0.022232093380085804 | 0.003377354609387151

 R  11 G 150    107     97.016        3.7		0.022232093380085804 | 0.003377354609387151

 R  11 G 151    109     96.802      3.762		0.032232093380085806 | 0.003377354609387151

 R  11 G 152    109      96.93      3.698		0.022232093380085804 | 0.01

 R  11 G 153    109      96.79      3.818		0.022232093380085804 | 0.003377354609387151

 R  11 G 154    107     96.816      3.683		0.022232093380085804 | 0.003377354609387151

 R  11 G 155    107     96.762      3.584		0.022232093380085804 | 0.003377354609387151

 R  11 G 156    109     96.804      3.657		0.022232093380085804 | 0.003377354609387151

 R  11 G 157    107      96.84      3.711		0.022232093380085804 | 0.003377354609387151

 R  11 G 158    109      96.89      3.753		0.032232093380085806 | 0.003377354609387151

 R  11 G 159    107     97.046       3.58		0.022232093380085804 | 0.003377354609387151

 R  11 G 160    107     97.094      3.537		0.032232093380085806 | 0.003377354609387151

 R  11 G 161    105     96.794      3.648		0.022232093380085804 | 0.003377354609387151

 R  11 G 162    109     96.902      3.772		0.022232093380085804 | 0.003377354609387151

 R  11 G 163    107     96.642      3.665		0.022232093380085804 | 0.003377354609387151

 R  11 G 164    109      96.73      3.651		0.032232093380085806 | 0.01

