Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    173     147.29      9.411		0.01879760767170746 | 0.06135201897844156
 R   1 G 142    167    155.954      3.819		0.9891336064635693 | 0.0385495160354048

 R   1 G 143    167      156.2      3.798		0.9591336064635693 | 0.05854951603540481

 R   1 G 144    165    156.358      3.505		0.9891336064635693 | 0.0385495160354048

 R   1 G 145    167    156.254      3.642		0.9891336064635693 | 0.048549516035404805

 R   1 G 146    171    156.366      3.687		0.9591336064635693 | 0.05854951603540481

 R   1 G 147    165    156.368       3.46		0.9891336064635693 | 0.0385495160354048

 R   1 G 148    165    156.218      3.489		0.9891336064635693 | 0.0285495160354048

 R   1 G 149    167    156.086      3.456		0.9591336064635693 | 0.0385495160354048

 R   1 G 150    167    156.218      3.531		0.9591336064635693 | 0.0385495160354048

 R   1 G 151    165    156.398      3.573		0.9791336064635693 | 0.0385495160354048

 R   1 G 152    165    156.332      3.606		0.9791336064635693 | 0.048549516035404805

 R   1 G 153    165    156.228      3.742		0.9791336064635693 | 0.0385495160354048

 R   1 G 154    165    156.222      3.583		0.9891336064635693 | 0.048549516035404805

 R   1 G 155    167    156.166      3.699		0.9891336064635693 | 0.0385495160354048

 R   1 G 156    167     156.31      3.673		0.9891336064635693 | 0.06854951603540481

 R   1 G 157    167    156.282      3.716		0.9891336064635693 | 0.0285495160354048

 R   1 G 158    165    156.148      3.518		0.9891336064635693 | 0.048549516035404805

 R   1 G 159    165    156.228       3.43		0.9791336064635693 | 0.0385495160354048

 R   1 G 160    167     156.25      3.514		0.9891336064635693 | 0.0385495160354048

 R   1 G 161    165    156.254      3.572		0.9891336064635693 | 0.0385495160354048

 R   1 G 162    165     156.48      3.475		0.9891336064635693 | 0.0285495160354048

 R   1 G 163    167    156.316      3.607		0.9891336064635693 | 0.05854951603540481

 R   1 G 164    165    156.342       3.57		0.9891336064635693 | 0.0385495160354048

 R   1 G 165    167    156.314      3.505		0.9891336064635693 | 0.0385495160354048

 R   1 G 166    165    156.334      3.507		0.9891336064635693 | 0.05854951603540481

 R   1 G 167    165    156.228      3.526		0.9891336064635693 | 0.0385495160354048

 R   1 G 168    165    156.144       3.53		0.9891336064635693 | 0.048549516035404805

 R   1 G 169    165    156.064      3.469		0.9891336064635693 | 0.0385495160354048

 R   1 G 170    165     156.48      3.503		0.9891336064635693 | 0.0285495160354048

 R   1 G 171    167    156.322       3.56		0.9891336064635693 | 0.0385495160354048

 R   1 G 172    165    156.106      3.629		0.9891336064635693 | 0.0385495160354048

 R   1 G 173    165    156.348      3.742		0.9791336064635693 | 0.048549516035404805

 R   1 G 174    165    156.426      3.587		0.9891336064635693 | 0.0285495160354048

 R   1 G 175    165     156.29      3.386		0.9791336064635693 | 0.048549516035404805

 R   1 G 176    165    156.356      3.635		0.9891336064635693 | 0.0385495160354048

 R   1 G 177    165    156.274       3.63		0.9891336064635693 | 0.0285495160354048

 R   1 G 178    165    156.398      3.588		0.9891336064635693 | 0.0385495160354048

 R   1 G 179    167      156.5      3.564		0.9891336064635693 | 0.0285495160354048

 R   1 G 180    165    156.418      3.491		0.9891336064635693 | 0.0185495160354048

 R   1 G 181    165    156.102      3.597		0.9891336064635693 | 0.0285495160354048

 R   1 G 182    167    156.288      3.522		0.9891336064635693 | 0.048549516035404805

 R   1 G 183    167    156.436      3.485		0.9891336064635693 | 0.0385495160354048

 R   1 G 184    165    156.228      3.447		0.9891336064635693 | 0.0385495160354048

 R   1 G 185    165    156.336      3.622		0.9891336064635693 | 0.048549516035404805

 R   1 G 186    165    156.264      3.502		0.9791336064635693 | 0.0285495160354048

 R   1 G 187    167    156.484      3.543		0.9891336064635693 | 0.0385495160354048

 R   1 G 188    167    156.352      3.458		0.9891336064635693 | 0.0185495160354048

 R   1 G 189    165    156.514       3.53		0.9891336064635693 | 0.0285495160354048

 R   1 G 190    167    156.452      3.645		0.9791336064635693 | 0.0285495160354048

 R   1 G 191    165     156.37      3.533		0.9791336064635693 | 0.0385495160354048

 R   1 G 192    165     156.48      3.458		0.9891336064635693 | 0.0385495160354048

 R   1 G 193    167     156.16      3.584		0.9891336064635693 | 0.0285495160354048

 R   1 G 194    165    156.274      3.626		0.9891336064635693 | 0.0185495160354048

 R   1 G 195    167     156.26      3.641		0.9791336064635693 | 0.0385495160354048

 R   1 G 196    167      156.4      3.568		0.9791336064635693 | 0.0385495160354048

 R   1 G 197    165     156.39      3.422		0.9891336064635693 | 0.048549516035404805

 R   1 G 198    167    156.496      3.432		0.9891336064635693 | 0.0185495160354048

 R   1 G 199    167    156.546      3.477		0.9791336064635693 | 0.0385495160354048

 R   1 G 200    165     156.22      3.438		0.9791336064635693 | 0.0385495160354048

 R   1 G 201    165    156.298      3.477		0.9791336064635693 | 0.0385495160354048

 R   1 G 202    165    156.356      3.473		0.9891336064635693 | 0.0385495160354048

 R   1 G 203    165     156.63      3.495		0.9791336064635693 | 0.048549516035404805

 R   1 G 204    167    156.552       3.55		0.9791336064635693 | 0.0385495160354048

 R   1 G 205    169    156.298      3.575		0.9791336064635693 | 0.0385495160354048

 R   1 G 206    167      156.4       3.43		0.9791336064635693 | 0.0385495160354048

 R   1 G 207    167     156.46      3.269		0.9891336064635693 | 0.0185495160354048

 R   1 G 208    167    156.416       3.51		0.9891336064635693 | 0.0185495160354048

 R   1 G 209    165    156.548      3.398		0.9791336064635693 | 0.0385495160354048

 R   1 G 210    165    156.576      3.453		0.9891336064635693 | 0.0385495160354048

 R   1 G 211    167    156.298      3.551		0.9891336064635693 | 0.0385495160354048

 R   1 G 212    165      156.4      3.472		0.9891336064635693 | 0.008549516035404799

 R   1 G 213    165    156.494      3.375		0.9891336064635693 | 0.0185495160354048

 R   1 G 214    165    156.486      3.278		0.9791336064635693 | 0.0385495160354048

 R   1 G 215    165    156.524      3.326		0.9891336064635693 | 0.008549516035404799

 R   1 G 216    169    156.458       3.28		0.9791336064635693 | 0.0385495160354048

 R   1 G 217    165    156.298      3.515		0.9891336064635693 | 0.0285495160354048

 R   1 G 218    165    156.588      3.374		0.9891336064635693 | 0.008549516035404799

 R   1 G 219    167    156.608      3.348		0.9891336064635693 | 0.008549516035404799

 R   1 G 220    167    156.516      3.341		0.9891336064635693 | 0.008549516035404799

 R   1 G 221    165     156.69      3.336		0.9891336064635693 | 0.008549516035404799

 R   1 G 222    165    156.498      3.439		0.9891336064635693 | 0.008549516035404799

 R   1 G 223    165    156.674      3.351		0.9891336064635693 | 0.008549516035404799

 R   1 G 224    165      156.5      3.237		0.9891336064635693 | 0.008549516035404799

 R   1 G 225    165    156.536      3.412		0.9891336064635693 | 0.0185495160354048

 R   1 G 226    165    156.748       3.26		0.9791336064635693 | 0.0385495160354048

 R   1 G 227    165      156.3      3.366		0.9891336064635693 | 0.008549516035404799

 R   1 G 228    165    156.604       3.28		0.9791336064635693 | 0.0385495160354048

 R   1 G 229    165    156.454      3.352		0.9891336064635693 | 0.008549516035404799

 R   1 G 230    165      156.7      3.247		0.9891336064635693 | 0.008549516035404799

 R   1 G 231    165    156.346      3.419		0.9891336064635693 | 0.008549516035404799

 R   1 G 232    165    156.628      3.282		0.9891336064635693 | 0.008549516035404799

 R   1 G 233    165     156.68      3.327		0.9891336064635693 | 0.008549516035404799

 R   1 G 234    167    156.522      3.339		0.9891336064635693 | 0.008549516035404799

 R   1 G 235    165    156.534      3.348		0.9891336064635693 | 0.0285495160354048

 R   1 G 236    165    156.626       3.44		0.9991336064635693 | 0.0185495160354048

 R   1 G 237    165     156.53      3.347		0.9891336064635693 | 0.008549516035404799

 R   1 G 238    163     156.57      3.274		0.9891336064635693 | 0.0285495160354048

 R   1 G 239    165    156.496      3.335		0.9891336064635693 | 0.008549516035404799

 R   1 G 240    165    156.548      3.324		0.9791336064635693 | 0.008549516035404799

 R   1 G 241    167    156.542      3.387		0.9791336064635693 | 0.008549516035404799

 R   1 G 242    165     156.62      3.411		0.9791336064635693 | 0.008549516035404799

 R   1 G 243    167    156.536      3.287		0.9791336064635693 | 0.008549516035404799

 R   1 G 244    167    156.582      3.351		0.9891336064635693 | 0.008549516035404799

 R   1 G 245    165    156.616      3.413		0.9891336064635693 | 0.008549516035404799

 R   1 G 246    165    156.426      3.311		0.9791336064635693 | 0.008549516035404799

 R   1 G 247    167    156.442      3.502		0.9891336064635693 | 0.008549516035404799

 R   1 G 248    165    156.746       3.41		0.9891336064635693 | 0.008549516035404799

 R   1 G 249    165    156.652      3.306		0.9891336064635693 | 0.008549516035404799

 R   1 G 250    169     156.82       3.36		0.9791336064635693 | 0.008549516035404799

 R   1 G 251    167    156.768      3.296		0.9891336064635693 | 0.008549516035404799

 R   1 G 252    165    156.702      3.403		0.99 | 0.0285495160354048

 R   1 G 253    165     156.79      3.316		0.9891336064635693 | 0.008549516035404799

 R   1 G 254    167    156.562       3.32		0.9891336064635693 | 0.008549516035404799

 R   1 G 255    165     156.69      3.351		0.9791336064635693 | 0.0185495160354048

 R   1 G 256    167    156.782       3.42		0.9791336064635693 | 0.008549516035404799

 R   1 G 257    165      156.6      3.346		0.9891336064635693 | 0.0185495160354048

 R   1 G 258    165     156.68      3.456		0.9891336064635693 | 0.008549516035404799

 R   1 G 259    169    156.748      3.358		0.9691336064635693 | 0.0

 R   1 G 260    165     156.58      3.511		0.9991336064635693 | 0.008549516035404799

 R   1 G 261    167      156.6      3.409		0.9891336064635693 | 0.0

 R   1 G 262    169    156.754      3.413		0.9891336064635693 | 0.008549516035404799

 R   1 G 263    165    156.694      3.316		0.9891336064635693 | 0.01

 R   1 G 264    165    156.666      3.362		0.9891336064635693 | 0.0

 R   1 G 265    167    156.816       3.33		0.9791336064635693 | 0.0

 R   1 G 266    165    156.652      3.331		0.9791336064635693 | 0.0

 R   1 G 267    165    156.604      3.244		0.9891336064635693 | 0.0185495160354048

 R   1 G 268    165    156.666      3.272		0.9891336064635693 | 0.0

 R   1 G 269    167    156.604      3.394		0.9791336064635693 | 0.008549516035404799

 R   1 G 270    165    156.638      3.256		0.9891336064635693 | 0.0

 R   1 G 271    167    156.738      3.331		0.9791336064635693 | 0.0

 R   1 G 272    165    156.796      3.421		0.9891336064635693 | 0.0185495160354048

 R   1 G 273    165    156.688      3.337		0.9891336064635693 | 0.0

 R   1 G 274    167    156.658      3.425		0.9891336064635693 | 0.0185495160354048

 R   1 G 275    167    156.842      3.216		0.9891336064635693 | 0.008549516035404799

 R   1 G 276    165    156.646      3.423		0.9891336064635693 | 0.008549516035404799

 R   1 G 277    165    156.816      3.282		0.9891336064635693 | 0.008549516035404799

 R   1 G 278    165    156.592      3.472		0.9891336064635693 | 0.0

 R   1 G 279    167     156.75      3.425		0.9891336064635693 | 0.0185495160354048

 R   1 G 280    165    156.778       3.38		0.9891336064635693 | 0.0185495160354048

 R   1 G 281    167    156.884      3.414		0.9891336064635693 | 0.008549516035404799

 R   1 G 282    165    156.658      3.193		0.9891336064635693 | 0.0185495160354048

 R   1 G 283    165    156.672      3.469		0.9891336064635693 | 0.0

 R   1 G 284    165    156.606      3.227		0.9791336064635693 | 0.0

 R   1 G 285    167    156.838      3.305		0.9891336064635693 | 0.01

 R   1 G 286    165    156.496      3.346		0.9891336064635693 | 0.008549516035404799

 R   1 G 287    165     156.78      3.389		0.9891336064635693 | 0.0185495160354048

 R   1 G 288    165    156.662      3.212		0.9891336064635693 | 0.0185495160354048

 R   1 G 289    165    156.788      3.202		0.9891336064635693 | 0.0

 R   1 G 290    165    156.714      3.293		0.9891336064635693 | 0.0185495160354048

 R   1 G 291    167    156.818      3.153		0.9891336064635693 | 0.008549516035404799

 R   1 G 292    167    156.766      3.286		0.9791336064635693 | 0.008549516035404799

 R   1 G 293    167    156.774       3.44		0.9791336064635693 | 0.0

 R   1 G 294    167    156.738       3.36		0.9791336064635693 | 0.008549516035404799

 R   1 G 295    165    156.886      3.299		0.9791336064635693 | 0.0

 R   1 G 296    167    156.526      3.382		0.9891336064635693 | 0.008549516035404799

 R   1 G 297    165    156.686      3.471		0.9791336064635693 | 0.0

