Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  200
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0   1496    1359.42      51.39		0.8706525965322613 | 0.13296164268902222

 R  25 G 106   1578    1541.11     18.365		0.9992042554243104 | 0.37459326306415774

 R  25 G 107   1574    1538.99     21.021		0.9992042554243104 | 0.37459326306415774

 R  25 G 108   1584     1541.5     18.753		0.9992042554243104 | 0.37459326306415774

 R  25 G 109   1586    1539.69     19.175		0.9992042554243104 | 0.37459326306415774

 R  25 G 110   1570    1537.73     19.257		1.0 | 0.37459326306415774

 R  25 G 111   1572    1540.24     14.858		0.9992042554243104 | 0.37459326306415774

 R  25 G 112   1568    1538.56     23.305		0.9992042554243104 | 0.37459326306415774

 R  25 G 113   1578    1540.74     16.288		0.9992042554243104 | 0.37459326306415774

 R  25 G 114   1572    1539.61     19.806		0.9992042554243104 | 0.37459326306415774

 R  25 G 115   1578    1536.76     27.397		1.0 | 0.37459326306415774

 R  25 G 116   1574    1540.97     19.434		0.9992042554243104 | 0.37459326306415774

 R  25 G 117   1578    1540.19     16.078		0.9992042554243104 | 0.37459326306415774

 R  25 G 118   1574     1540.1     16.407		0.9992042554243104 | 0.37459326306415774

 R  25 G 119   1572    1538.88     18.561		1.0 | 0.38459326306415775

 R  25 G 120   1572    1539.11     17.823		1.0 | 0.37459326306415774

 R  25 G 121   1566    1539.93      16.32		0.9992042554243104 | 0.37459326306415774

 R  25 G 122   1576     1540.9      15.51		0.9992042554243104 | 0.37459326306415774

 R  25 G 123   1576    1538.01      20.92		1.0 | 0.37459326306415774

 R  25 G 124   1578    1539.68     16.527		0.9992042554243104 | 0.37459326306415774

 R  25 G 125   1574    1542.31     17.248		1.0 | 0.37459326306415774

 R  25 G 126   1578    1538.09     17.085		1.0 | 0.37459326306415774

 R  25 G 127   1582    1540.32     19.647		0.9992042554243104 | 0.37459326306415774

 R  25 G 128   1576    1537.52     19.027		0.9992042554243104 | 0.37459326306415774

 R  25 G 129   1570    1539.83     19.316		1.0 | 0.37459326306415774

 R  25 G 130   1574    1540.51     17.086		1.0 | 0.37459326306415774

 R  25 G 131   1576     1540.1       17.4		1.0 | 0.37459326306415774

 R  25 G 132   1584    1539.77      18.37		1.0 | 0.37459326306415774

 R  25 G 133   1578    1537.66     20.858		1.0 | 0.37459326306415774

 R  25 G 134   1576    1539.65     15.463		0.9992042554243104 | 0.37459326306415774

 R  25 G 135   1580    1539.14     20.291		0.9992042554243104 | 0.37459326306415774

 R  25 G 136   1566    1539.02     21.258		1.0 | 0.37459326306415774

 R  25 G 137   1570    1542.52     15.629		0.9992042554243104 | 0.37459326306415774

 R  25 G 138   1572    1538.65     20.077		0.9992042554243104 | 0.37459326306415774

 R  25 G 139   1572    1540.14     18.848		1.0 | 0.37459326306415774

 R  25 G 140   1574    1541.53     13.712		1.0 | 0.37459326306415774

 R  25 G 141   1576    1541.15     14.406		0.9992042554243104 | 0.38459326306415775

 R  25 G 142   1576     1541.4     15.142		0.9992042554243104 | 0.38459326306415775

 R  25 G 143   1574    1542.64     12.997		1.0 | 0.38459326306415775

 R  25 G 144   1574    1540.41     16.918		1.0 | 0.37459326306415774

 R  25 G 145   1576    1538.16     16.849		1.0 | 0.37459326306415774

 R  25 G 146   1570    1541.97     15.328		0.9992042554243104 | 0.37459326306415774

 R  25 G 147   1572    1539.03     19.645		0.9992042554243104 | 0.37459326306415774

 R  25 G 148   1578    1539.68     15.949		0.9992042554243104 | 0.38459326306415775

 R  25 G 149   1578    1539.92     19.471		1.0 | 0.38459326306415775

 R  25 G 150   1578    1540.13     18.026		1.0 | 0.38459326306415775

 R  25 G 151   1576    1539.23     18.835		1.0 | 0.36459326306415774

 R  25 G 152   1580    1540.04     18.825		0.9992042554243104 | 0.37459326306415774

 R  25 G 153   1570    1540.03     15.836		1.0 | 0.38459326306415775

 R  25 G 154   1574    1540.96     14.156		1.0 | 0.38459326306415775

 R  25 G 155   1580    1539.86      13.95		1.0 | 0.38459326306415775

 R  25 G 156   1574    1541.01     15.995		1.0 | 0.38459326306415775

 R  25 G 157   1578    1542.09     13.707		1.0 | 0.37459326306415774

 R  25 G 158   1576    1540.81     16.316		1.0 | 0.37459326306415774

 R  25 G 159   1574     1539.3     18.016		1.0 | 0.37459326306415774

 R  25 G 160   1574    1541.53     15.735		1.0 | 0.36459326306415774

 R  25 G 161   1572    1541.39     12.177		1.0 | 0.38459326306415775

 R  25 G 162   1582    1540.79     15.467		1.0 | 0.36459326306415774

 R  25 G 163   1572    1540.05     15.673		1.0 | 0.36459326306415774

 R  25 G 164   1574    1543.91     11.517		1.0 | 0.38459326306415775

 R  25 G 165   1572    1542.73      12.56		1.0 | 0.38459326306415775

 R  25 G 166   1578     1540.6     13.025		1.0 | 0.37459326306415774

 R  25 G 167   1582    1541.47     13.667		1.0 | 0.36459326306415774

 R  25 G 168   1576    1541.51     14.052		1.0 | 0.36459326306415774

 R  25 G 169   1576     1542.5     12.657		1.0 | 0.38459326306415775

 R  25 G 170   1574    1541.76     12.154		1.0 | 0.36459326306415774

 R  25 G 171   1570    1542.13     12.242		1.0 | 0.3545932630641577

 R  25 G 172   1574    1543.32     14.207		1.0 | 0.37459326306415774

 R  25 G 173   1582    1543.17     13.101		1.0 | 0.3545932630641577

 R  25 G 174   1580    1544.29     12.272		1.0 | 0.3545932630641577

 R  25 G 175   1576    1543.57     14.712		1.0 | 0.37459326306415774

 R  25 G 176   1578    1542.62     14.419		1.0 | 0.3545932630641577

 R  25 G 177   1576    1545.04     16.564		1.0 | 0.3545932630641577

 R  25 G 178   1586    1543.02     12.979		1.0 | 0.3545932630641577

 R  25 G 179   1578    1542.92     13.646		1.0 | 0.36459326306415774

 R  25 G 180   1586    1544.46     12.372		1.0 | 0.3545932630641577

 R  25 G 181   1576    1543.19     16.068		1.0 | 0.3545932630641577

 R  25 G 182   1576    1544.23     13.791		1.0 | 0.3545932630641577

 R  25 G 183   1578    1544.24     13.314		1.0 | 0.3545932630641577

 R  25 G 184   1574    1542.85     13.925		1.0 | 0.3545932630641577

 R  25 G 185   1584     1542.7     12.276		1.0 | 0.3545932630641577

 R  25 G 186   1574    1545.49     12.587		1.0 | 0.36459326306415774

 R  25 G 187   1582    1544.69     12.341		1.0 | 0.3545932630641577

 R  25 G 188   1570    1544.44     12.645		1.0 | 0.3545932630641577

 R  25 G 189   1568    1542.55     12.442		1.0 | 0.3545932630641577

 R  25 G 190   1572    1544.46     12.543		1.0 | 0.3545932630641577

 R  25 G 191   1578    1543.75     16.217		1.0 | 0.3545932630641577

 R  25 G 192   1588    1543.34     15.471		1.0 | 0.3545932630641577

 R  25 G 193   1582    1544.28     16.056		1.0 | 0.36459326306415774

 R  25 G 194   1578    1544.31     17.778		1.0 | 0.3545932630641577

 R  25 G 195   1580    1546.19     11.942		1.0 | 0.3545932630641577

 R  25 G 196   1582    1543.76       15.0		1.0 | 0.3545932630641577

 R  25 G 197   1578    1542.62     13.607		1.0 | 0.3545932630641577

 R  25 G 198   1576    1544.04      12.02		1.0 | 0.3545932630641577

 R  25 G 199   1572    1543.63     12.918		1.0 | 0.36459326306415774

25     7        1.0########### RawFitness
           0          0         1592

 R  26 G   0   1544     1359.3     47.825		0.9734609111409466 | 0.02885808845419857

 R  26 G   1   1588    1378.43     50.675		0.966622570387034 | 0.10908091907414863

 R  26 G   2   1602    1398.66     66.843		0.966622570387034 | 0.11908091907414863

 R  26 G   3   1612    1425.03     69.702		0.9734609111409466 | 0.02885808845419857

 R  26 G   4   1590    1447.85     69.462		0.9734609111409466 | 0.02885808845419857

 R  26 G   5   1598    1472.79     66.715		0.966622570387034 | 0.10908091907414863

 R  26 G   6   1602    1488.92     56.661		0.9734609111409466 | 0.02885808845419857

 R  26 G   7   1604    1496.79     55.502		0.9734609111409466 | 0.02885808845419857

 R  26 G   8   1596    1497.33     48.448		0.9734609111409466 | 0.02885808845419857

 R  26 G   9   1598    1499.15     50.302		0.9834609111409466 | 0.02885808845419857

 R  26 G  10   1608    1502.29      53.01		0.9734609111409466 | 0.02885808845419857

 R  26 G  11   1606    1508.83     51.533		0.9834609111409466 | 0.02885808845419857

 R  26 G  12   1610    1517.23     48.136		0.9834609111409466 | 0.02885808845419857

 R  26 G  13   1608    1513.62      48.14		0.9834609111409466 | 0.02885808845419857

 R  26 G  14   1610    1518.32     44.589		0.9734609111409466 | 0.02885808845419857

 R  26 G  15   1608     1517.7     49.883		0.9834609111409466 | 0.02885808845419857

 R  26 G  16   1612     1515.7     50.239		0.9734609111409466 | 0.02885808845419857

 R  26 G  17   1606     1526.6     46.969		0.9834609111409466 | 0.02885808845419857

 R  26 G  18   1608    1526.17     44.722		0.9834609111409466 | 0.02885808845419857

 R  26 G  19   1614     1536.0     51.477		0.9834609111409466 | 0.02885808845419857

 R  26 G  20   1612    1546.53     46.496		0.9934609111409466 | 0.02885808845419857

 R  26 G  21   1612    1547.76     44.449		0.9834609111409466 | 0.01885808845419857

 R  26 G  22   1618    1549.59     46.702		0.9934609111409466 | 0.02885808845419857

 R  26 G  23   1610    1562.69     38.718		0.9934609111409466 | 0.02885808845419857

 R  26 G  24   1614    1565.25     35.674		0.9934609111409466 | 0.02885808845419857

 R  26 G  25   1612    1564.36     37.661		0.9934609111409466 | 0.02885808845419857

 R  26 G  26   1614    1564.79     34.145		1.0 | 0.02885808845419857

 R  26 G  27   1620    1566.31     36.366		0.9934609111409466 | 0.02885808845419857

 R  26 G  28   1610    1565.46     36.613		0.9934609111409466 | 0.02885808845419857

 R  26 G  29   1610    1568.01     36.434		0.9934609111409466 | 0.02885808845419857

 R  26 G  30   1622    1574.02     31.716		0.9934609111409466 | 0.02885808845419857

 R  26 G  31   1616    1575.63     31.128		0.9934609111409466 | 0.02885808845419857

 R  26 G  32   1616    1583.74     23.793		0.99 | 0.02885808845419857

 R  26 G  33   1620    1580.19     26.395		1.0 | 0.02885808845419857

 R  26 G  34   1612    1582.03     25.909		1.0 | 0.02885808845419857

 R  26 G  35   1612    1586.06      23.85		1.0 | 0.02885808845419857

 R  26 G  36   1614    1587.24     21.589		1.0 | 0.038858088454198574

 R  26 G  37   1618    1589.62      18.17		1.0 | 0.02885808845419857

 R  26 G  38   1612    1588.61     17.813		1.0 | 0.038858088454198574

 R  26 G  39   1610    1591.01      11.18		0.9934609111409466 | 0.02885808845419857

 R  26 G  40   1616    1590.97      12.28		1.0 | 0.02885808845419857

 R  26 G  41   1614    1591.35     12.023		1.0 | 0.02885808845419857

 R  26 G  42   1618    1592.41      9.794		1.0 | 0.038858088454198574

 R  26 G  43   1616     1590.6     11.011		1.0 | 0.038858088454198574

 R  26 G  44   1616     1590.7     10.508		1.0 | 0.038858088454198574

 R  26 G  45   1620    1591.32     10.753		1.0 | 0.02885808845419857

 R  26 G  46   1616    1591.13      9.119		1.0 | 0.038858088454198574

 R  26 G  47   1614    1592.07      7.709		1.0 | 0.038858088454198574

 R  26 G  48   1612    1591.56       9.09		1.0 | 0.038858088454198574

 R  26 G  49   1612    1591.89      7.869		1.0 | 0.038858088454198574

 R  26 G  50   1614    1590.18      8.629		1.0 | 0.038858088454198574

 R  26 G  51   1616    1590.85      8.484		1.0 | 0.038858088454198574

 R  26 G  52   1610    1591.34      9.158		1.0 | 0.038858088454198574

 R  26 G  53   1610    1591.35      8.335		1.0 | 0.038858088454198574

 R  26 G  54   1614    1589.76       9.15		1.0 | 0.038858088454198574

 R  26 G  55   1618    1590.28       9.63		1.0 | 0.02885808845419857

 R  26 G  56   1622    1591.48       9.01		1.0 | 0.02885808845419857

 R  26 G  57   1612    1591.71      9.815		1.0 | 0.038858088454198574

 R  26 G  58   1610    1590.19      9.785		1.0 | 0.038858088454198574

 R  26 G  59   1614    1590.35     12.795		1.0 | 0.02885808845419857

 R  26 G  60   1612    1591.31      11.55		1.0 | 0.02885808845419857

 R  26 G  61   1612    1592.18      8.453		1.0 | 0.038858088454198574

 R  26 G  62   1612    1592.96      8.025		1.0 | 0.01885808845419857

 R  26 G  63   1614    1592.05      7.808		1.0 | 0.02885808845419857

 R  26 G  64   1616    1592.43     11.223		1.0 | 0.02885808845419857

 R  26 G  65   1616    1591.94      8.402		1.0 | 0.02885808845419857

 R  26 G  66   1608     1592.0      7.786		1.0 | 0.02885808845419857

 R  26 G  67   1618    1591.31      8.246		1.0 | 0.038858088454198574

 R  26 G  68   1610     1590.9     12.879		1.0 | 0.038858088454198574

 R  26 G  69   1618    1592.58     12.024		1.0 | 0.02885808845419857

 R  26 G  70   1616    1591.86      7.376		1.0 | 0.02885808845419857

 R  26 G  71   1612    1591.76      8.212		1.0 | 0.02885808845419857

 R  26 G  72   1614    1592.06       8.53		1.0 | 0.038858088454198574

 R  26 G  73   1616    1592.05       14.3		1.0 | 0.02885808845419857

 R  26 G  74   1610    1590.09     14.407		1.0 | 0.02885808845419857

 R  26 G  75   1612    1591.25     13.586		1.0 | 0.02885808845419857

 R  26 G  76   1616    1591.35     10.664		1.0 | 0.02885808845419857

 R  26 G  77   1608    1592.31      7.502		1.0 | 0.02885808845419857

 R  26 G  78   1614     1592.3      9.478		1.0 | 0.02885808845419857

 R  26 G  79   1620    1592.87      8.363		1.0 | 0.02885808845419857

 R  26 G  80   1610    1591.43     13.821		1.0 | 0.02885808845419857

 R  26 G  81   1614    1592.64      7.791		1.0 | 0.02885808845419857

 R  26 G  82   1612    1593.66      7.907		1.0 | 0.01885808845419857

 R  26 G  83   1610    1593.33      7.227		1.0 | 0.02885808845419857

 R  26 G  84   1612    1592.46      7.242		1.0 | 0.02885808845419857

 R  26 G  85   1612     1591.9      8.247		1.0 | 0.02885808845419857

 R  26 G  86   1620     1592.0      11.19		1.0 | 0.02885808845419857

 R  26 G  87   1618    1591.19     11.314		1.0 | 0.02885808845419857

 R  26 G  88   1614    1593.04      7.534		1.0 | 0.02885808845419857

 R  26 G  89   1612    1592.21      9.887		1.0 | 0.02885808845419857

 R  26 G  90   1612    1592.86      10.11		1.0 | 0.02885808845419857

 R  26 G  91   1614    1592.97       7.85		1.0 | 0.02885808845419857

 R  26 G  92   1614     1592.2      8.068		1.0 | 0.02885808845419857

 R  26 G  93   1610    1592.13      7.542		1.0 | 0.02885808845419857

 R  26 G  94   1616    1592.72      9.286		1.0 | 0.02885808845419857

 R  26 G  95   1612    1593.24      7.474		1.0 | 0.02885808845419857

 R  26 G  96   1614    1590.63     16.339		1.0 | 0.02885808845419857

 R  26 G  97   1612     1592.2      7.924		1.0 | 0.02885808845419857

 R  26 G  98   1610    1592.66      8.075		1.0 | 0.02885808845419857

 R  26 G  99   1618    1592.59       8.96		1.0 | 0.02885808845419857

 R  26 G 100   1610    1592.47       8.76		1.0 | 0.02885808845419857

 R  26 G 101   1614     1592.9      9.879		1.0 | 0.02885808845419857

 R  26 G 102   1616    1590.96     11.804		1.0 | 0.02885808845419857

 R  26 G 103   1614    1593.05      7.651		1.0 | 0.02885808845419857

 R  26 G 104   1616    1592.44      8.226		1.0 | 0.02885808845419857

 R  26 G 105   1606    1592.01      8.234		1.0 | 0.02885808845419857

 R  26 G 106   1616     1593.4       8.65		1.0 | 0.02885808845419857

 R  26 G 107   1616    1592.53      7.538		1.0 | 0.02885808845419857

 R  26 G 108   1616    1593.71      8.757		1.0 | 0.01885808845419857

 R  26 G 109   1614     1592.8      8.445		1.0 | 0.02885808845419857

 R  26 G 110   1610    1591.83     10.373		1.0 | 0.02885808845419857

 R  26 G 111   1616    1592.99      9.511		1.0 | 0.02885808845419857

 R  26 G 112   1614    1591.94      8.305		1.0 | 0.01885808845419857

 R  26 G 113   1616    1594.38      9.539		1.0 | 0.00885808845419857

 R  26 G 114   1618    1594.37      8.956		1.0 | 0.02885808845419857

 R  26 G 115   1616    1593.23     11.053		1.0 | 0.01885808845419857

 R  26 G 116   1612    1594.03      8.362		1.0 | 0.02885808845419857

 R  26 G 117   1616    1593.85     10.769		1.0 | 0.02885808845419857

 R  26 G 118   1616    1593.06      8.171		1.0 | 0.01885808845419857

 R  26 G 119   1614    1592.66     10.115		1.0 | 0.01885808845419857

 R  26 G 120   1618    1594.87      8.408		1.0 | 0.00885808845419857

 R  26 G 121   1612    1592.83     10.948		1.0 | 0.01885808845419857

 R  26 G 122   1616    1593.45     11.751		1.0 | 0.01885808845419857

 R  26 G 123   1612    1593.03     10.547		1.0 | 0.01885808845419857

 R  26 G 124   1616    1593.81      8.319		1.0 | 0.00885808845419857

 R  26 G 125   1622    1593.04     10.335		1.0 | 0.01885808845419857

 R  26 G 126   1616    1593.97      9.683		1.0 | 0.01885808845419857

 R  26 G 127   1614    1594.28     12.188		1.0 | 0.01885808845419857

 R  26 G 128   1614    1593.03     13.371		1.0 | 0.01885808845419857

 R  26 G 129   1616    1593.63     12.221		1.0 | 0.01885808845419857

 R  26 G 130   1616     1594.6      7.685		1.0 | 0.01885808845419857

 R  26 G 131   1616    1595.03      8.186		1.0 | 0.00885808845419857

 R  26 G 132   1620    1593.34     12.148		1.0 | 0.01885808845419857

 R  26 G 133   1616    1593.68      7.751		1.0 | 0.00885808845419857

 R  26 G 134   1612    1593.88       8.75		1.0 | 0.01885808845419857

 R  26 G 135   1618    1595.08      7.762		1.0 | 0.01885808845419857

 R  26 G 136   1620    1594.16      8.481		1.0 | 0.01885808845419857

 R  26 G 137   1618    1593.21      9.808		1.0 | 0.01885808845419857

 R  26 G 138   1612    1595.07      7.391		1.0 | 0.01885808845419857

 R  26 G 139   1620     1595.0      7.884		1.0 | 0.01885808845419857

 R  26 G 140   1612    1592.47      8.511		1.0 | 0.01885808845419857

 R  26 G 141   1612    1592.88     11.999		1.0 | 0.01885808845419857

 R  26 G 142   1614    1594.19      8.285		1.0 | 0.01885808845419857

 R  26 G 143   1616    1593.75      9.385		1.0 | 0.01885808845419857

 R  26 G 144   1614    1594.24      8.541		1.0 | 0.01885808845419857

 R  26 G 145   1614    1592.66     15.932		1.0 | 0.01885808845419857

 R  26 G 146   1608    1592.74      9.837		1.0 | 0.01885808845419857

 R  26 G 147   1614    1593.12     12.516		1.0 | 0.01885808845419857

 R  26 G 148   1616    1595.04     10.564		1.0 | 0.01885808845419857

 R  26 G 149   1622    1594.94      9.724		1.0 | 0.01885808845419857

 R  26 G 150   1614    1593.94      8.359		1.0 | 0.01885808845419857

 R  26 G 151   1620    1595.48      8.063		1.0 | 0.01885808845419857

 R  26 G 152   1608    1592.77      7.119		1.0 | 0.00885808845419857

 R  26 G 153   1620    1594.88       8.47		1.0 | 0.01885808845419857

 R  26 G 154   1614     1595.0       7.41		1.0 | 0.01885808845419857

 R  26 G 155   1612     1595.2      7.315		1.0 | 0.01885808845419857

 R  26 G 156   1614    1594.09      9.345		1.0 | 0.01885808845419857

 R  26 G 157   1616    1594.27      9.389		1.0 | 0.01885808845419857

 R  26 G 158   1616    1594.32      7.275		1.0 | 0.01885808845419857

 R  26 G 159   1612    1594.62        7.9		1.0 | 0.00885808845419857

 R  26 G 160   1614    1593.94     11.441		1.0 | 0.01885808845419857

 R  26 G 161   1618    1594.93      9.561		1.0 | 0.01885808845419857

 R  26 G 162   1614    1593.59     10.585		1.0 | 0.01885808845419857

 R  26 G 163   1618    1593.83     15.519		1.0 | 0.00885808845419857

 R  26 G 164   1618    1593.49     10.756		1.0 | 0.00885808845419857

 R  26 G 165   1612    1594.24     11.687		1.0 | 0.01885808845419857

 R  26 G 166   1618    1594.36     12.896		1.0 | 0.00885808845419857

 R  26 G 167   1616    1593.17      12.84		1.0 | 0.00885808845419857

 R  26 G 168   1614    1595.35      9.542		1.0 | 0.01885808845419857

 R  26 G 169   1624    1592.67     16.227		1.0 | 0.00885808845419857

 R  26 G 170   1616    1595.07       7.44		1.0 | 0.00885808845419857

 R  26 G 171   1620    1594.03     11.917		1.0 | 0.00885808845419857

 R  26 G 172   1616    1594.56      7.174		1.0 | 0.00885808845419857

 R  26 G 173   1618    1595.59      8.053		1.0 | 0.00885808845419857

 R  26 G 174   1616    1594.76     10.575		1.0 | 0.00885808845419857

 R  26 G 175   1616    1595.08      8.433		1.0 | 0.00885808845419857

 R  26 G 176   1616    1594.46      7.989		1.0 | 0.00885808845419857

 R  26 G 177   1616     1594.2      7.763		1.0 | 0.00885808845419857

 R  26 G 178   1616    1594.38     10.299		1.0 | 0.01885808845419857

 R  26 G 179   1616    1595.27      8.521		1.0 | 0.01885808845419857

 R  26 G 180   1616    1594.35      8.467		1.0 | 0.00885808845419857

 R  26 G 181   1616    1594.88      7.259		1.0 | 0.01885808845419857

 R  26 G 182   1616    1594.37     12.148		1.0 | 0.01885808845419857

 R  26 G 183   1614    1593.26     12.391		1.0 | 0.00885808845419857

 R  26 G 184   1618    1592.23     15.664		1.0 | 0.01885808845419857

 R  26 G 185   1612     1593.9     16.287		1.0 | 0.00885808845419857

 R  26 G 186   1614    1594.25       7.21		1.0 | 0.01885808845419857

 R  26 G 187   1612    1594.16      7.208		1.0 | 0.01885808845419857

 R  26 G 188   1614    1594.97      7.513		1.0 | 0.00885808845419857

 R  26 G 189   1612    1594.54      9.801		1.0 | 0.00885808845419857

 R  26 G 190   1610    1595.49      7.224		1.0 | 0.00885808845419857

 R  26 G 191   1620    1594.72       7.44		1.0 | 0.00885808845419857

 R  26 G 192   1612    1596.52      7.044		1.0 | 0.00885808845419857

 R  26 G 193   1614    1595.06      7.845		1.0 | 0.0

 R  26 G 194   1616    1595.56      7.257		1.0 | 0.0

 R  26 G 195   1622    1596.92        8.0		1.0 | 0.0

 R  26 G 196   1614    1596.61      7.457		1.0 | 0.01885808845419857

 R  26 G 197   1624    1595.92      7.303		1.0 | 0.00885808845419857

 R  26 G 198   1616    1595.97      7.631		1.0 | 0.0

 R  26 G 199   1614    1596.85      7.514		1.0 | 0.00885808845419857

26   169        1.0        0.0 RawFitness
           0          0         1624

 R  27 G   0   1532    1356.64     54.765		0.9948445228833984 | 0.32267766435567635

 R  27 G   1   1534    1375.09     51.752		0.9447819073630133 | 0.21109902553022442

 R  27 G   2   1558    1397.43     52.652		0.9948445228833984 | 0.32267766435567635

 R  27 G   3   1572    1417.93     59.217		0.9666019022738856 | 0.27156695641487916

 R  27 G   4   1580     1441.1       57.1		0.9447819073630133 | 0.21109902553022442

 R  27 G   5   1576    1456.86     55.652		0.9666019022738856 | 0.27156695641487916

 R  27 G   6   1588    1474.41     47.953		0.9447819073630133 | 0.2010990255302244

 R  27 G   7   1572    1476.43     44.215		0.9666019022738856 | 0.27156695641487916

 R  27 G   8   1590    1480.56     48.525		0.9666019022738856 | 0.27156695641487916

 R  27 G   9   1578     1481.0     52.443		0.9666019022738856 | 0.27156695641487916

 R  27 G  10   1574    1483.32     51.032		0.9948445228833984 | 0.32267766435567635

 R  27 G  11   1602    1494.96     49.577		0.9666019022738856 | 0.27156695641487916

 R  27 G  12   1578    1502.16     51.033		0.9547819073630133 | 0.2010990255302244

 R  27 G  13   1582    1509.75     47.152		0.9766019022738857 | 0.27156695641487916

 R  27 G  14   1586    1515.14     45.266		0.9948445228833984 | 0.33267766435567636

 R  27 G  15   1582    1526.15     36.958		0.9948445228833984 | 0.32267766435567635

 R  27 G  16   1586    1526.95     42.488		0.9948445228833984 | 0.32267766435567635

 R  27 G  17   1580    1531.61     36.403		0.9948445228833984 | 0.32267766435567635

 R  27 G  18   1578    1529.47     37.809		0.9948445228833984 | 0.32267766435567635

 R  27 G  19   1578     1532.0     35.921		0.9948445228833984 | 0.32267766435567635

 R  27 G  20   1588    1532.08     37.511		0.9948445228833984 | 0.32267766435567635

 R  27 G  21   1578    1530.39     38.509		0.9948445228833984 | 0.32267766435567635

 R  27 G  22   1584    1533.21     35.264		0.9948445228833984 | 0.32267766435567635

 R  27 G  23   1582    1534.33     35.682		0.9948445228833984 | 0.32267766435567635

 R  27 G  24   1586    1532.03     36.323		0.9948445228833984 | 0.32267766435567635

 R  27 G  25   1586    1537.41     31.703		0.9948445228833984 | 0.32267766435567635

 R  27 G  26   1580    1528.79     39.297		0.9948445228833984 | 0.32267766435567635

 R  27 G  27   1582    1534.39     32.277		0.9948445228833984 | 0.32267766435567635

 R  27 G  28   1580     1529.4      41.74		0.9948445228833984 | 0.32267766435567635

 R  27 G  29   1578    1531.84     37.186		0.9948445228833984 | 0.32267766435567635

 R  27 G  30   1580    1532.68     36.207		0.9948445228833984 | 0.32267766435567635

 R  27 G  31   1586    1534.29     36.851		0.9948445228833984 | 0.32267766435567635

 R  27 G  32   1588    1537.44     33.909		0.9948445228833984 | 0.32267766435567635

 R  27 G  33   1582    1539.11     34.337		1.0 | 0.33267766435567636

 R  27 G  34   1578    1539.25     28.687		0.9948445228833984 | 0.32267766435567635

 R  27 G  35   1584    1538.71     28.042		1.0 | 0.33267766435567636

 R  27 G  36   1578    1539.02     29.809		0.9948445228833984 | 0.32267766435567635

 R  27 G  37   1582    1537.36     29.873		1.0 | 0.33267766435567636

 R  27 G  38   1584    1541.64     26.224		0.9948445228833984 | 0.32267766435567635

 R  27 G  39   1578    1541.46     27.352		0.9948445228833984 | 0.32267766435567635

 R  27 G  40   1580    1541.89     23.819		1.0 | 0.32267766435567635

 R  27 G  41   1576    1545.78     16.779		1.0 | 0.33267766435567636

 R  27 G  42   1574    1546.37     16.035		1.0 | 0.33267766435567636

 R  27 G  43   1588    1543.87       20.3		1.0 | 0.33267766435567636

 R  27 G  44   1582    1546.31     22.073		1.0 | 0.33267766435567636

 R  27 G  45   1584     1547.2     13.978		1.0 | 0.33267766435567636

 R  27 G  46   1588    1548.87     11.974		0.9948445228833984 | 0.32267766435567635

 R  27 G  47   1584    1547.01     13.177		1.0 | 0.33267766435567636

 R  27 G  48   1580    1549.82     12.861		1.0 | 0.33267766435567636

 R  27 G  49   1584    1548.36      11.85		1.0 | 0.33267766435567636

 R  27 G  50   1586    1548.55     12.368		1.0 | 0.33267766435567636

 R  27 G  51   1576    1548.82     12.741		1.0 | 0.33267766435567636

 R  27 G  52   1582    1550.27     12.265		1.0 | 0.33267766435567636

 R  27 G  53   1578     1546.2     17.499		1.0 | 0.33267766435567636

 R  27 G  54   1582     1548.5     12.699		1.0 | 0.33267766435567636

 R  27 G  55   1584    1545.88       18.7		1.0 | 0.33267766435567636

 R  27 G  56   1580    1547.07     17.158		1.0 | 0.33267766435567636

 R  27 G  57   1576    1549.59      11.13		1.0 | 0.33267766435567636

 R  27 G  58   1580    1547.73     14.299		1.0 | 0.33267766435567636

 R  27 G  59   1590    1547.87     13.321		1.0 | 0.32267766435567635

 R  27 G  60   1588    1548.42     13.552		1.0 | 0.32267766435567635

 R  27 G  61   1584    1547.07     12.829		1.0 | 0.33267766435567636

 R  27 G  62   1578    1549.57      12.79		1.0 | 0.33267766435567636

