Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923

 R  26 G 186    134    124.432       3.48		0.9509394953172319 | 0.03628842280553303

 R  26 G 187    134    124.448      3.557		0.9609394953172319 | 0.026288422805533028

 R  26 G 188    134    124.648      3.621		0.9709394953172319 | 0.026288422805533028

 R  26 G 189    134    124.582      3.515		0.9409394953172319 | 0.026288422805533028

 R  26 G 190    134    124.642      3.617		0.9509394953172319 | 0.026288422805533028

 R  26 G 191    136    124.542       3.65		0.9609394953172319 | 0.03628842280553303

 R  26 G 192    134    124.366      3.616		0.9709394953172319 | 0.026288422805533028

 R  26 G 193    136     124.49      3.556		0.9509394953172319 | 0.026288422805533028

 R  26 G 194    134     124.51      3.575		0.9809394953172319 | 0.016288422805533026

 R  26 G 195    136    124.552      3.441		0.9509394953172319 | 0.026288422805533028

 R  26 G 196    134    124.564      3.704		0.9809394953172319 | 0.016288422805533026

 R  26 G 197    136    124.532      3.619		0.9509394953172319 | 0.026288422805533028

 R  26 G 198    134    124.628      3.382		0.9609394953172319 | 0.026288422805533028

 R  26 G 199    136     124.58      3.482		0.9509394953172319 | 0.026288422805533028

 R  26 G 200    134    124.458      3.663		0.9509394953172319 | 0.026288422805533028

 R  26 G 201    136    124.742      3.492		0.9709394953172319 | 0.026288422805533028

 R  26 G 202    136     124.64      3.658		0.9609394953172319 | 0.03628842280553303

 R  26 G 203    134     124.37      3.726		0.9509394953172319 | 0.026288422805533028

 R  26 G 204    134    124.592      3.728		0.9609394953172319 | 0.026288422805533028

 R  26 G 205    134    124.416      3.682		0.9509394953172319 | 0.016288422805533026

 R  26 G 206    134    124.604      3.803		0.9509394953172319 | 0.026288422805533028

 R  26 G 207    134    124.282      3.899		0.9509394953172319 | 0.026288422805533028

 R  26 G 208    138    124.448      3.807		0.9509394953172319 | 0.016288422805533026

 R  26 G 209    134    124.656      3.637		0.9609394953172319 | 0.03628842280553303

 R  26 G 210    136    124.418      3.969		0.9509394953172319 | 0.03628842280553303

 R  26 G 211    134    124.662      3.822		0.9509394953172319 | 0.016288422805533026

 R  26 G 212    136    124.414       3.63		0.9609394953172319 | 0.03628842280553303

 R  26 G 213    136     124.69      3.685		0.9809394953172319 | 0.006288422805533026

 R  26 G 214    136    124.404      3.903		0.9509394953172319 | 0.026288422805533028

 R  26 G 215    136    124.418      3.875		0.9509394953172319 | 0.03628842280553303

 R  26 G 216    134    124.482      3.846		0.9709394953172319 | 0.026288422805533028

 R  26 G 217    134    124.444      3.694		0.9509394953172319 | 0.026288422805533028

 R  26 G 218    136    124.572        3.7		0.9509394953172319 | 0.03628842280553303

 R  26 G 219    138     124.41      3.811		0.9509394953172319 | 0.03628842280553303

 R  26 G 220    136     124.43      3.793		0.9509394953172319 | 0.03628842280553303

 R  26 G 221    136    124.554      3.824		0.9509394953172319 | 0.03628842280553303

 R  26 G 222    134    124.334      3.725		0.9509394953172319 | 0.026288422805533028

 R  26 G 223    136    124.704      3.683		0.9409394953172319 | 0.026288422805533028

 R  26 G 224    136     124.35      3.704		0.9509394953172319 | 0.03628842280553303

 R  26 G 225    134    124.542      3.854		0.9509394953172319 | 0.026288422805533028

 R  26 G 226    138    124.412      3.756		0.9409394953172319 | 0.006288422805533026

 R  26 G 227    136    124.374      3.859		0.9509394953172319 | 0.03628842280553303

 R  26 G 228    134    124.524       3.68		0.9509394953172319 | 0.03628842280553303

 R  26 G 229    136    124.428      3.978		0.9809394953172319 | 0.016288422805533026

 R  26 G 230    136     124.25      3.953		0.9509394953172319 | 0.03628842280553303

 R  26 G 231    136     124.42      3.985		0.9409394953172319 | 0.006288422805533026

 R  26 G 232    136    124.454      3.923		0.9509394953172319 | 0.03628842280553303

 R  26 G 233    136    124.234      3.979		0.9509394953172319 | 0.026288422805533028

 R  26 G 234    138    124.518      4.193		0.9409394953172319 | 0.026288422805533028

 R  26 G 235    136    124.536      4.152		0.9509394953172319 | 0.016288422805533026

 R  26 G 236    138     124.46      4.015		0.9409394953172319 | 0.006288422805533026

 R  26 G 237    138     124.43      3.964		0.9509394953172319 | 0.026288422805533028

 R  26 G 238    138    124.254      3.988		0.9509394953172319 | 0.03628842280553303

 R  26 G 239    136    124.376      4.046		0.9509394953172319 | 0.026288422805533028

 R  26 G 240    136     124.47      3.953		0.9509394953172319 | 0.03628842280553303

 R  26 G 241    136    124.538      3.733		0.9409394953172319 | 0.016288422805533026

 R  26 G 242    138      124.4      4.133		0.9409394953172319 | 0.026288422805533028

 R  26 G 243    136    124.202      3.996		0.9409394953172319 | 0.006288422805533026

 R  26 G 244    136    124.686       4.05		0.9509394953172319 | 0.026288422805533028

 R  26 G 245    136    124.406      3.938		0.9509394953172319 | 0.016288422805533026

 R  26 G 246    138    124.192      3.933		0.9409394953172319 | 0.006288422805533026

 R  26 G 247    138    124.356      4.064		0.9509394953172319 | 0.03628842280553303

 R  26 G 248    134    124.466      4.001		0.9409394953172319 | 0.006288422805533026

 R  26 G 249    136    124.474      4.002		0.9509394953172319 | 0.026288422805533028

 R  26 G 250    134    124.372      3.708		0.9509394953172319 | 0.03628842280553303

 R  26 G 251    136    124.436       3.96		0.9509394953172319 | 0.026288422805533028

 R  26 G 252    134    124.356      3.977		0.9509394953172319 | 0.016288422805533026

 R  26 G 253    134    124.336      4.105		0.9509394953172319 | 0.016288422805533026

 R  26 G 254    136     124.27      3.957		0.9509394953172319 | 0.03628842280553303

 R  26 G 255    136    124.328      4.025		0.9409394953172319 | 0.016288422805533026

 R  26 G 256    136    124.318      4.078		0.9509394953172319 | 0.03628842280553303

 R  26 G 257    136    124.362      3.957		0.9509394953172319 | 0.026288422805533028

 R  26 G 258    136    124.536      4.153		0.9509394953172319 | 0.03628842280553303

 R  26 G 259    136    124.218      4.009		0.9509394953172319 | 0.03628842280553303

 R  26 G 260    136     124.42      3.943		0.9609394953172319 | 0.03628842280553303

 R  26 G 261    136    124.094       4.06		0.9509394953172319 | 0.026288422805533028

 R  26 G 262    134    124.164      4.078		0.9509394953172319 | 0.016288422805533026

 R  26 G 263    136     124.44      4.223		0.9409394953172319 | 0.026288422805533028

 R  26 G 264    136     124.51      4.159		0.9609394953172319 | 0.016288422805533026

 R  26 G 265    136    124.344      3.949		0.9509394953172319 | 0.016288422805533026

 R  26 G 266    136    124.304      4.411		0.9509394953172319 | 0.016288422805533026

 R  26 G 267    134    124.258      4.086		0.9509394953172319 | 0.006288422805533026

 R  26 G 268    136    124.432      3.974		0.9409394953172319 | 0.016288422805533026

 R  26 G 269    134    124.214      4.083		0.9509394953172319 | 0.03628842280553303

 R  26 G 270    136    124.418      4.074		0.9509394953172319 | 0.026288422805533028

 R  26 G 271    136     124.54      4.014		0.9509394953172319 | 0.03628842280553303

 R  26 G 272    136    124.382      4.335		0.9409394953172319 | 0.016288422805533026

 R  26 G 273    136    124.536      4.158		0.9509394953172319 | 0.026288422805533028

 R  26 G 274    136    124.124       4.24		0.9409394953172319 | 0.016288422805533026

 R  26 G 275    138     124.28      4.109		0.9409394953172319 | 0.016288422805533026

 R  26 G 276    138    124.418      4.089		0.9409394953172319 | 0.006288422805533026

 R  26 G 277    136    124.088      4.146		0.9609394953172319 | 0.026288422805533028

 R  26 G 278    136    124.034      4.261		0.9509394953172319 | 0.03628842280553303

 R  26 G 279    136     124.31      4.168		0.9509394953172319 | 0.006288422805533026

 R  26 G 280    136    124.376      4.163		0.9409394953172319 | 0.016288422805533026

 R  26 G 281    138    124.334      4.113		0.9309394953172319 | 0.016288422805533026

 R  26 G 282    136    124.326      4.122		0.9509394953172319 | 0.03628842280553303

 R  26 G 283    136    124.302      4.201		0.9509394953172319 | 0.026288422805533028

 R  26 G 284    140     124.49      4.041		0.9509394953172319 | 0.006288422805533026

 R  26 G 285    136    124.404      4.251		0.9509394953172319 | 0.03628842280553303

 R  26 G 286    138    124.376      4.199		0.9509394953172319 | 0.016288422805533026

 R  26 G 287    136     124.38       3.93		0.9509394953172319 | 0.03628842280553303

 R  26 G 288    136    124.554      4.242		0.9509394953172319 | 0.026288422805533028

 R  26 G 289    136     124.42      4.278		0.9409394953172319 | 0.026288422805533028

 R  26 G 290    136    124.278      4.195		0.9509394953172319 | 0.03628842280553303

 R  26 G 291    138    124.342      4.163		0.9509394953172319 | 0.026288422805533028

 R  26 G 292    138    124.366      4.116		0.9509394953172319 | 0.03628842280553303

 R  26 G 293    138    124.316      4.049		0.9509394953172319 | 0.026288422805533028

 R  26 G 294    136     124.42      4.093		0.9509394953172319 | 0.026288422805533028

 R  26 G 295    136    124.246      3.957		0.9509394953172319 | 0.006288422805533026

 R  26 G 296    136    124.316      4.251		0.9509394953172319 | 0.016288422805533026

 R  26 G 297    138    124.478       4.17		0.9509394953172319 | 0.016288422805533026

 R  26 G 298    136    124.328      4.165		0.9509394953172319 | 0.016288422805533026

 R  26 G 299    140    124.208      4.209		0.9409394953172319 | 0.016288422805533026

 R  26 G 300    136    124.304      4.337		0.9509394953172319 | 0.03628842280553303

 R  26 G 301    134    124.428      4.146		0.9509394953172319 | 0.016288422805533026

 R  26 G 302    136    124.202      4.339		0.9309394953172319 | 0.006288422805533026

 R  26 G 303    136    124.614      4.221		0.9409394953172319 | 0.03628842280553303

 R  26 G 304    138    124.498      4.363		0.9509394953172319 | 0.03628842280553303

 R  26 G 305    136    124.372      4.321		0.9409394953172319 | 0.03628842280553303

 R  26 G 306    136     124.44      4.094		0.9409394953172319 | 0.016288422805533026

 R  26 G 307    136    124.162      4.275		0.9309394953172319 | 0.006288422805533026

 R  26 G 308    134    124.198       4.27		0.9509394953172319 | 0.016288422805533026

 R  26 G 309    138    124.396      4.252		0.9509394953172319 | 0.026288422805533028

 R  26 G 310    136    124.302      4.207		0.9409394953172319 | 0.03628842280553303

 R  26 G 311    134    124.394      4.197		0.9309394953172319 | 0.006288422805533026

 R  26 G 312    136    124.316        4.3		0.9509394953172319 | 0.03628842280553303

 R  26 G 313    136    124.284      4.281		0.9509394953172319 | 0.03628842280553303

 R  26 G 314    138    124.488      4.136		0.9509394953172319 | 0.03628842280553303

 R  26 G 315    134    124.316      4.181		0.9509394953172319 | 0.016288422805533026

 R  26 G 316    136    124.262      4.201		0.9609394953172319 | 0.016288422805533026

 R  26 G 317    134    124.144      4.333		0.9509394953172319 | 0.03628842280553303

 R  26 G 318    138    124.066      4.322		0.9309394953172319 | 0.0

 R  26 G 319    136    124.232       3.97		0.9509394953172319 | 0.026288422805533028

 R  26 G 320    136    124.226      4.147		0.9309394953172319 | 0.006288422805533026

 R  26 G 321    136    124.512      4.033		0.9509394953172319 | 0.03628842280553303

 R  26 G 322    134    124.382      4.168		0.9509394953172319 | 0.016288422805533026

 R  26 G 323    136    124.532      4.017		0.9309394953172319 | 0.006288422805533026

 R  26 G 324    136    124.136      4.246		0.9509394953172319 | 0.03628842280553303

 R  26 G 325    136    124.486      4.092		0.9509394953172319 | 0.03628842280553303

 R  26 G 326    138     124.32       4.19		0.9309394953172319 | 0.006288422805533026

 R  26 G 327    136     124.21      4.329		0.9509394953172319 | 0.03628842280553303

 R  26 G 328    136    124.486      4.019		0.9509394953172319 | 0.03628842280553303

 R  26 G 329    138    124.192      4.191		0.9409394953172319 | 0.03628842280553303

 R  26 G 330    136    124.038      4.503		0.9509394953172319 | 0.03628842280553303

 R  26 G 331    136    124.318      4.108		0.9409394953172319 | 0.0

 R  26 G 332    134     124.43      4.041		0.9309394953172319 | 0.0

 R  26 G 333    136    124.382       4.12		0.9309394953172319 | 0.0

 R  26 G 334    136    124.564      4.242		0.9309394953172319 | 0.0

 R  26 G 335    138    124.402      4.183		0.9309394953172319 | 0.006288422805533026

 R  26 G 336    140    124.422      4.152		0.9309394953172319 | 0.0

 R  26 G 337    136    124.088      4.292		0.9609394953172319 | 0.016288422805533026

 R  26 G 338    138    124.474      4.101		0.9509394953172319 | 0.04628842280553303

 R  26 G 339    136     124.15      4.052		0.9609394953172319 | 0.03628842280553303

 R  26 G 340    138    124.212        4.2		0.9309394953172319 | 0.0

 R  26 G 341    140    124.418      4.127		0.9309394953172319 | 0.0

 R  26 G 342    134    124.134       4.07		0.9509394953172319 | 0.0

 R  26 G 343    136     124.19       4.27		0.9309394953172319 | 0.0

 R  26 G 344    134    124.332      4.237		0.9309394953172319 | 0.0

 R  26 G 345    134    124.396      4.206		0.9509394953172319 | 0.03628842280553303

 R  26 G 346    136    124.124      4.324		0.9709394953172319 | 0.016288422805533026

 R  26 G 347    134    124.382      4.211		0.9409394953172319 | 0.03628842280553303

 R  26 G 348    136    124.206        4.3		0.9509394953172319 | 0.03628842280553303

 R  26 G 349    136    124.412      4.142		0.9509394953172319 | 0.03628842280553303

 R  26 G 350    138      124.5      4.261		0.9309394953172319 | 0.0

 R  26 G 351    138     124.04      4.184		0.9209394953172318 | 0.0

 R  26 G 352    136    124.212      4.165		0.9609394953172319 | 0.026288422805533028

 R  26 G 353    136    124.134      4.246		0.9509394953172319 | 0.03628842280553303

 R  26 G 354    140    124.414      4.147		0.9409394953172319 | 0.03628842280553303

 R  26 G 355    136    124.428      4.144		0.9309394953172319 | 0.0

 R  26 G 356    136     124.25      4.216		0.9609394953172319 | 0.03628842280553303

 R  26 G 357    138     124.35      4.096		0.9309394953172319 | 0.0

 R  26 G 358    136    124.356      4.267		0.9309394953172319 | 0.0

 R  26 G 359    136     124.37      4.125		0.9609394953172319 | 0.03628842280553303

 R  26 G 360    136     124.33      4.136		0.9309394953172319 | 0.0

 R  26 G 361    136    124.122      4.273		0.9509394953172319 | 0.016288422805533026

 R  26 G 362    136    124.476      4.186		0.9609394953172319 | 0.006288422805533026

 R  26 G 363    138    124.278      4.211		0.9309394953172319 | 0.0

 R  26 G 364    134    124.304      4.097		0.9509394953172319 | 0.016288422805533026

 R  26 G 365    136    124.496      4.237		0.9509394953172319 | 0.03628842280553303

 R  26 G 366    136    124.284      4.171		0.9509394953172319 | 0.03628842280553303

 R  26 G 367    136     124.37      4.239		0.9309394953172319 | 0.0

 R  26 G 368    138    124.392      4.349		0.9209394953172318 | 0.0

 R  26 G 369    136    124.554      4.117		0.9309394953172319 | 0.0

 R  26 G 370    138    124.204      4.397		0.9209394953172318 | 0.0

 R  26 G 371    138    124.398      4.387		0.9509394953172319 | 0.03628842280553303

 R  26 G 372    136      124.3       4.28		0.9209394953172318 | 0.0

 R  26 G 373    138    124.422      4.357		0.9609394953172319 | 0.006288422805533026

 R  26 G 374    136    124.428      4.319		0.9309394953172319 | 0.0

 R  26 G 375    134    124.318      4.104		0.9209394953172318 | 0.0

 R  26 G 376    138    124.476      4.116		0.9509394953172319 | 0.03628842280553303

 R  26 G 377    134    124.394      4.267		0.9309394953172319 | 0.0

 R  26 G 378    138    124.366      4.199		0.9509394953172319 | 0.03628842280553303

 R  26 G 379    136    124.426      4.102		0.9409394953172319 | 0.03628842280553303

 R  26 G 380    134    124.216      3.985		0.9309394953172319 | 0.0

 R  26 G 381    136    124.292      4.036		0.9509394953172319 | 0.04628842280553303

 R  26 G 382    136    124.574      3.997		0.9609394953172319 | 0.016288422805533026

 R  26 G 383    136    124.318      4.151		0.9309394953172319 | 0.0

 R  26 G 384    136    124.428      4.105		0.9509394953172319 | 0.03628842280553303

 R  26 G 385    136    124.144      4.145		0.9309394953172319 | 0.0

 R  26 G 386    138    124.386      4.331		0.9609394953172319 | 0.04628842280553303

 R  26 G 387    136    124.618      4.266		0.9509394953172319 | 0.006288422805533026

 R  26 G 388    138    124.122      4.094		0.9309394953172319 | 0.01

 R  26 G 389    138    124.144      4.183		0.9309394953172319 | 0.01

 R  26 G 390    134     124.38      3.997		0.9309394953172319 | 0.0

 R  26 G 391    136    124.412      3.946		0.9509394953172319 | 0.04628842280553303

 R  26 G 392    136    124.222      4.168		0.9309394953172319 | 0.01

 R  26 G 393    138    124.308      4.052		0.9509394953172319 | 0.03628842280553303

 R  26 G 394    136    124.394      4.038		0.9309394953172319 | 0.0

 R  26 G 395    134    124.226      3.929		0.9509394953172319 | 0.04628842280553303

 R  26 G 396    136    124.176      3.955		0.9609394953172319 | 0.016288422805533026

 R  26 G 397    136     124.51      3.892		0.9309394953172319 | 0.01

 R  26 G 398    138    124.364      3.976		0.9609394953172319 | 0.006288422805533026

 R  26 G 399    138    124.168      4.123		0.9309394953172319 | 0.01

 R  26 G 400    142    124.324       4.09		0.9309394953172319 | 0.01

 R  26 G 401    136    124.372      3.942		0.9309394953172319 | 0.01

 R  26 G 402    138    124.018      4.192		0.9609394953172319 | 0.03628842280553303

 R  26 G 403    136    124.388        4.0		0.9609394953172319 | 0.006288422805533026

 R  26 G 404    136     124.12      4.015		0.9609394953172319 | 0.026288422805533028

 R  26 G 405    134    124.282      3.924		0.9509394953172319 | 0.04628842280553303

 R  26 G 406    134     124.37      3.755		0.9709394953172319 | 0.03628842280553303

 R  26 G 407    136    124.472      4.051		0.9609394953172319 | 0.03628842280553303

 R  26 G 408    140    124.374      3.842		0.9409394953172319 | 0.04628842280553303

 R  26 G 409    134    124.134      4.083		0.9409394953172319 | 0.04628842280553303

 R  26 G 410    136    124.276      4.126		0.9709394953172319 | 0.026288422805533028

 R  26 G 411    136    124.118      4.087		0.9609394953172319 | 0.016288422805533026

 R  26 G 412    136    124.438      4.072		0.9509394953172319 | 0.026288422805533028

 R  26 G 413    138    124.372      3.989		0.9309394953172319 | 0.0

 R  26 G 414    134    124.246      4.048		0.9409394953172319 | 0.04628842280553303

 R  26 G 415    136    124.482      4.041		0.9609394953172319 | 0.016288422805533026

 R  26 G 416    136    124.336      3.906		0.9309394953172319 | 0.0

 R  26 G 417    138    124.546      3.968		0.9509394953172319 | 0.0

 R  26 G 418    134    124.398      3.858		0.9409394953172319 | 0.04628842280553303

 R  26 G 419    134    124.218      3.994		0.9509394953172319 | 0.026288422805533028

 R  26 G 420    136    124.608      3.845		0.9509394953172319 | 0.0

 R  26 G 421    134    124.584      4.024		0.9609394953172319 | 0.016288422805533026

 R  26 G 422    136     124.32      4.165		0.9609394953172319 | 0.026288422805533028

 R  26 G 423    136    124.194      3.961		0.9609394953172319 | 0.026288422805533028

 R  26 G 424    136     124.44       3.91		0.9709394953172319 | 0.016288422805533026

 R  26 G 425    136    124.502      4.019		0.9309394953172319 | 0.0

 R  26 G 426    136    124.326      3.937		0.9609394953172319 | 0.026288422805533028

 R  26 G 427    134    124.372      3.806		0.9609394953172319 | 0.016288422805533026

 R  26 G 428    134      124.4      4.044		0.9809394953172319 | 0.016288422805533026

 R  26 G 429    134     124.18      3.891		0.9609394953172319 | 0.03628842280553303

 R  26 G 430    134    124.404       3.84		0.9609394953172319 | 0.026288422805533028

 R  26 G 431    136    124.296      3.991		0.9309394953172319 | 0.0

 R  26 G 432    136    124.148      3.923		0.9509394953172319 | 0.03628842280553303

 R  26 G 433    134    124.282       4.05		0.9309394953172319 | 0.0

 R  26 G 434    136      124.4      3.978		0.9609394953172319 | 0.03628842280553303

 R  26 G 435    136     124.41      4.026		0.9609394953172319 | 0.03628842280553303

 R  26 G 436    134    124.314      3.954		0.9509394953172319 | 0.03628842280553303

 R  26 G 437    136     124.28      3.974		0.9609394953172319 | 0.026288422805533028

 R  26 G 438    134    124.258      3.953		0.9409394953172319 | 0.016288422805533026

 R  26 G 439    136    124.286      3.893		0.9509394953172319 | 0.03628842280553303

 R  26 G 440    138    124.124      4.135		0.9309394953172319 | 0.0

 R  26 G 441    136    124.544      3.986		0.9609394953172319 | 0.04628842280553303

 R  26 G 442    136    124.464      4.092		0.9709394953172319 | 0.026288422805533028

 R  26 G 443    134     124.38       3.95		0.9309394953172319 | 0.0

 R  26 G 444    134    124.232      3.818		0.9609394953172319 | 0.026288422805533028

 R  26 G 445    136    124.544      3.913		0.9609394953172319 | 0.03628842280553303

 R  26 G 446    136     124.22      4.059		0.9609394953172319 | 0.03628842280553303

 R  26 G 447    136    124.346      3.988		0.9609394953172319 | 0.026288422805533028

 R  26 G 448    134    124.172      4.147		0.9609394953172319 | 0.03628842280553303

 R  26 G 449    138    124.268      3.923		0.9609394953172319 | 0.026288422805533028

 R  26 G 450    136     124.43      4.092		0.9609394953172319 | 0.03628842280553303

 R  26 G 451    136      124.7      3.889		0.9509394953172319 | 0.04628842280553303

 R  26 G 452    136    123.998      4.093		0.9709394953172319 | 0.03628842280553303

 R  26 G 453    134    124.138      4.016		0.9309394953172319 | 0.0

 R  26 G 454    136     124.15      4.187		0.9609394953172319 | 0.04628842280553303

 R  26 G 455    138    124.396      4.024		0.9309394953172319 | 0.0

 R  26 G 456    134    124.362      4.036		0.9609394953172319 | 0.026288422805533028

 R  26 G 457    138    124.276      4.116		0.9609394953172319 | 0.026288422805533028

 R  26 G 458    136    124.224      3.989		0.9609394953172319 | 0.026288422805533028

 R  26 G 459    136    124.372      4.155		0.9609394953172319 | 0.03628842280553303

 R  26 G 460    136    124.268      3.833		0.9509394953172319 | 0.03628842280553303

 R  26 G 461    136    124.452        4.0		0.9609394953172319 | 0.04628842280553303

 R  26 G 462    134    124.248      3.968		0.9609394953172319 | 0.03628842280553303

 R  26 G 463    134    124.132      3.875		0.9609394953172319 | 0.03628842280553303

 R  26 G 464    136    124.512      3.957		0.9609394953172319 | 0.04628842280553303

 R  26 G 465    136    124.428      3.987		0.9709394953172319 | 0.026288422805533028

 R  26 G 466    134    124.344      3.905		0.9409394953172319 | 0.016288422805533026

 R  26 G 467    138     124.37      3.977		0.9609394953172319 | 0.03628842280553303

 R  26 G 468    136    124.466      4.062		0.9609394953172319 | 0.026288422805533028

 R  26 G 469    136    124.256      4.133		0.9609394953172319 | 0.03628842280553303

 R  26 G 470    136    124.204        3.9		0.9509394953172319 | 0.03628842280553303

 R  26 G 471    136    124.284      4.176		0.9309394953172319 | 0.0

 R  26 G 472    138     124.39      4.174		0.9609394953172319 | 0.03628842280553303

 R  26 G 473    138    124.162      4.149		0.9309394953172319 | 0.0

 R  26 G 474    136    124.226      4.026		0.9709394953172319 | 0.056288422805533034

 R  26 G 475    136     124.58      3.824		0.9509394953172319 | 0.026288422805533028

 R  26 G 476    136      124.4      3.991		0.9509394953172319 | 0.026288422805533028

 R  26 G 477    140    124.364      4.112		0.9309394953172319 | 0.0

 R  26 G 478    138    124.542        4.1		0.9609394953172319 | 0.026288422805533028

 R  26 G 479    138    124.168      4.096		0.9409394953172319 | 0.016288422805533026

 R  26 G 480    136    124.624      4.147		0.9609394953172319 | 0.026288422805533028

 R  26 G 481    136    124.326      4.127		0.9609394953172319 | 0.03628842280553303

 R  26 G 482    136    124.376       4.17		0.9609394953172319 | 0.026288422805533028

 R  26 G 483    136    124.506      4.111		0.9709394953172319 | 0.03628842280553303

 R  26 G 484    138      124.3      4.034		0.9309394953172319 | 0.0

 R  26 G 485    136    124.076      4.152		0.9609394953172319 | 0.03628842280553303

 R  26 G 486    134     124.66      4.158		0.9309394953172319 | 0.0

 R  26 G 487    138    124.378      4.114		0.9309394953172319 | 0.0

 R  26 G 488    136    124.372      4.109		0.9109394953172318 | 0.0

 R  26 G 489    136    124.204       4.09		0.9409394953172319 | 0.016288422805533026

 R  26 G 490    136    124.436      4.079		0.9109394953172318 | 0.0

 R  26 G 491    138    124.292      4.095		0.9609394953172319 | 0.016288422805533026

 R  26 G 492    136    124.252      4.112		0.9609394953172319 | 0.03628842280553303

 R  26 G 493    136    124.264      4.176		0.9309394953172319 | 0.0

 R  26 G 494    136    124.314      3.831		0.9509394953172319 | 0.03628842280553303

 R  26 G 495    138    124.172      4.144		0.9309394953172319 | 0.0

 R  26 G 496    134     124.44      4.015		0.9609394953172319 | 0.03628842280553303

 R  26 G 497    134    124.164      4.205		0.9309394953172319 | 0.0

 R  26 G 498    136    124.148      3.986		0.9609394953172319 | 0.03628842280553303

 R  26 G 499    136    124.298      4.141		0.9309394953172319 | 0.0

26    18###################### RawFitness
           0          0          152

 R  27 G   0    144    119.114       7.99		0.15310568874209873 | 0.5152329744830564

 R  27 G   1    144    119.636      7.802		0.21076036316201896 | 0.17578453130694283

 R  27 G   2    142     120.16      7.903		0.5985785415153779 | 0.3049604422938246

 R  27 G   3    142     120.52      7.457		0.408402016563833 | 0.12725972808405805

 R  27 G   4    144    120.496      7.771		0.038602044816990144 | 0.23057798011750352

 R  27 G   5    142    121.142       7.37		0.5976835812070832 | 0.016576524216455835

 R  27 G   6    142    121.366      6.982		0.5063271535143189 | 0.9773093293509071

 R  27 G   7    144     121.09      7.166		0.5063271535143189 | 0.9773093293509071

 R  27 G   8    142     122.14      6.812		0.3021358577544503 | 0.3375685298384312

 R  27 G   9    146    122.322      6.624		0.1701133480137449 | 0.21553500802458914

 R  27 G  10    144    122.074      6.598		0.30249259707088383 | 0.2325855016204319

 R  27 G  11    142    122.384      6.433		0.47933366719973847 | 0.47815375916829683

 R  27 G  12    140    122.782      6.352		0.2921358577544503 | 0.3375685298384312

 R  27 G  13    144    122.444      6.081		0.3021358577544503 | 0.3375685298384312

 R  27 G  14    140    122.538      5.948		0.5976835812070832 | 0.016576524216455835

 R  27 G  15    144    122.604      6.104		0.3222190878637716 | 0.0011528584634178385

 R  27 G  16    144    122.846      6.006		0.2921358577544503 | 0.3375685298384312

 R  27 G  17    142    122.888      6.097		0.11224333306985879 | 0.09959311797297199

 R  27 G  18    142    123.044      5.934		0.5976835812070832 | 0.016576524216455835

 R  27 G  19    146     123.31      5.806		0.2921358577544503 | 0.3375685298384312

 R  27 G  20    142    123.182      5.648		0.3222190878637716 | 0.0011528584634178385

 R  27 G  21    142    123.312      5.718		0.30249259707088383 | 0.2425855016204319

 R  27 G  22    140    123.232      5.474		0.3222190878637716 | 0.0011528584634178385

 R  27 G  23    140     123.09      5.258		0.6712452037766146 | 0.2931568934694656

 R  27 G  24    144     123.51      5.379		0.8940237017274456 | 0.07357396603344335

 R  27 G  25    140    123.222      5.412		0.6712452037766146 | 0.2831568934694656

 R  27 G  26    142    123.698      5.375		0.3021358577544503 | 0.3375685298384312

 R  27 G  27    140    123.356      5.197		0.16011334801374488 | 0.21553500802458914

 R  27 G  28    146    123.502      5.151		0.16011334801374488 | 0.21553500802458914

 R  27 G  29    146     123.35      5.388		0.5976835812070832 | 0.016576524216455835

 R  27 G  30    140     123.42      5.394		0.3222190878637716 | 0.0011528584634178385

 R  27 G  31    136    123.322      5.226		0.3021358577544503 | 0.3375685298384312

 R  27 G  32    144    123.834      5.114		0.3222190878637716 | 0.0011528584634178385

 R  27 G  33    138    123.454      5.081		0.3021358577544503 | 0.3375685298384312

 R  27 G  34    146     123.75      5.122		0.5976835812070832 | 0.016576524216455835

 R  27 G  35    146    123.646       5.09		0.15011334801374487 | 0.21553500802458914

