Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923
 R   1 G 114    142    123.838      5.433		0.3039478444431334 | 0.029208819079435955

 R   1 G 115    142    123.742      5.343		0.2939478444431334 | 0.029208819079435955

 R   1 G 116    144    123.812      5.553		0.3139478444431334 | 0.019208819079435953

 R   1 G 117    142     123.61      5.387		0.3139478444431334 | 0.019208819079435953

 R   1 G 118    142    123.638      5.491		0.3039478444431334 | 0.029208819079435955

 R   1 G 119    142     123.81      5.355		0.28394784444313337 | 0.029208819079435955

 R   1 G 120    146    123.708      5.434		0.3139478444431334 | 0.019208819079435953

 R   1 G 121    140    123.666       5.37		0.2939478444431334 | 0.029208819079435955

 R   1 G 122    142    123.642      5.355		0.3039478444431334 | 0.029208819079435955

 R   1 G 123    144    123.556      5.444		0.3039478444431334 | 0.029208819079435955

 R   1 G 124    140     123.62      5.609		0.3039478444431334 | 0.029208819079435955

 R   1 G 125    146    123.932      5.469		0.3039478444431334 | 0.03920881907943596

 R   1 G 126    144    123.516      5.386		0.3039478444431334 | 0.029208819079435955

 R   1 G 127    140    123.688      5.196		0.2939478444431334 | 0.019208819079435953

 R   1 G 128    140    123.844      5.351		0.02517965964503765 | 0.02360256997483811

 R   1 G 129    142    123.542      5.411		0.2939478444431334 | 0.029208819079435955

 R   1 G 130    142    123.634      5.295		0.3039478444431334 | 0.029208819079435955

 R   1 G 131    142    123.296       5.27		0.2939478444431334 | 0.029208819079435955

 R   1 G 132    142    124.014      5.335		0.2939478444431334 | 0.029208819079435955

 R   1 G 133    146    123.774      5.668		0.2939478444431334 | 0.029208819079435955

 R   1 G 134    144    123.946      5.454		0.2939478444431334 | 0.029208819079435955

 R   1 G 135    144    123.744      5.665		0.2939478444431334 | 0.03920881907943596

 R   1 G 136    146    123.766      5.584		0.2939478444431334 | 0.029208819079435955

 R   1 G 137    148    123.738      5.362		0.2939478444431334 | 0.029208819079435955

 R   1 G 138    140    123.618      5.468		0.3039478444431334 | 0.029208819079435955

 R   1 G 139    146    123.794      5.603		0.28394784444313337 | 0.029208819079435955

 R   1 G 140    142      123.6      5.708		0.02517965964503765 | 0.013602569974838108

 R   1 G 141    146    123.504      5.957		0.3039478444431334 | 0.029208819079435955

 R   1 G 142    140    123.422       5.47		0.2939478444431334 | 0.029208819079435955

 R   1 G 143    142    123.456      5.839		0.2939478444431334 | 0.029208819079435955

 R   1 G 144    142    123.414      5.739		0.3039478444431334 | 0.029208819079435955

 R   1 G 145    140    123.572      5.468		0.3039478444431334 | 0.029208819079435955

 R   1 G 146    144     123.76       5.79		0.2939478444431334 | 0.029208819079435955

 R   1 G 147    144     123.51      5.793		0.3039478444431334 | 0.029208819079435955

 R   1 G 148    144    123.898      5.697		0.3039478444431334 | 0.029208819079435955

 R   1 G 149    142    123.736      5.553		0.3039478444431334 | 0.029208819079435955

 R   1 G 150    138    123.226      5.745		0.3039478444431334 | 0.019208819079435953

 R   1 G 151    148    123.516      5.409		0.28394784444313337 | 0.03920881907943596

 R   1 G 152    144    123.242      5.868		0.3039478444431334 | 0.029208819079435955

 R   1 G 153    140    123.642      5.836		0.3039478444431334 | 0.029208819079435955

 R   1 G 154    140    123.894      5.567		0.3039478444431334 | 0.029208819079435955

