Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009

 R  20 G 180    231    220.124      4.077		0.992751479217658 | 0.0169026184315917

 R  20 G 181    229    219.828      4.378		0.992751479217658 | 0.026902618431591703

 R  20 G 182    229     219.92      4.331		0.992751479217658 | 0.026902618431591703

 R  20 G 183    229    220.132      3.965		0.992751479217658 | 0.0169026184315917

 R  20 G 184    231    220.152       4.22		0.992751479217658 | 0.026902618431591703

 R  20 G 185    231     220.24      3.972		0.992751479217658 | 0.0169026184315917

 R  20 G 186    229    219.924      4.163		0.992751479217658 | 0.026902618431591703

 R  20 G 187    229    219.896      4.369		0.992751479217658 | 0.026902618431591703

 R  20 G 188    229    219.828      3.995		0.982751479217658 | 0.0169026184315917

 R  20 G 189    233    219.952      4.447		0.982751479217658 | 0.026902618431591703

 R  20 G 190    229     220.34      4.335		0.992751479217658 | 0.0169026184315917

 R  20 G 191    231    220.276      4.216		0.992751479217658 | 0.026902618431591703

 R  20 G 192    231    220.236      4.201		0.982751479217658 | 0.026902618431591703

 R  20 G 193    229    220.356      4.189		0.992751479217658 | 0.026902618431591703

 R  20 G 194    231    220.316      4.019		0.992751479217658 | 0.026902618431591703

 R  20 G 195    229    220.324      4.203		0.992751479217658 | 0.0169026184315917

 R  20 G 196    231    220.132      4.115		0.992751479217658 | 0.026902618431591703

 R  20 G 197    233      220.2      4.167		0.992751479217658 | 0.026902618431591703

 R  20 G 198    229    220.324      3.792		0.992751479217658 | 0.0169026184315917

 R  20 G 199    229      220.3      3.861		0.992751479217658 | 0.0169026184315917

 R  20 G 200    229    220.292      3.907		0.992751479217658 | 0.0169026184315917

 R  20 G 201    229    220.164      3.747		0.992751479217658 | 0.0169026184315917

 R  20 G 202    231    220.436      3.704		0.992751479217658 | 0.026902618431591703

 R  20 G 203    231    220.108      3.923		0.992751479217658 | 0.0169026184315917

 R  20 G 204    229    220.056      3.763		1.0 | 0.026902618431591703

 R  20 G 205    229    220.296      3.689		1.0 | 0.0169026184315917

 R  20 G 206    231    220.156      3.828		0.992751479217658 | 0.0169026184315917

 R  20 G 207    231    219.948      3.837		0.982751479217658 | 0.0169026184315917

 R  20 G 208    231    220.132      4.023		0.992751479217658 | 0.006902618431591701

 R  20 G 209    233     220.28      4.328		0.982751479217658 | 0.0169026184315917

 R  20 G 210    233      220.5      3.811		0.982751479217658 | 0.0169026184315917

 R  20 G 211    231     220.22      4.259		0.992751479217658 | 0.026902618431591703

 R  20 G 212    231    220.288      3.692		0.992751479217658 | 0.0169026184315917

 R  20 G 213    229    220.672      3.872		0.992751479217658 | 0.026902618431591703

 R  20 G 214    229    220.024      3.942		1.0 | 0.0

 R  20 G 215    229    220.556      3.855		1.0 | 0.036902618431591705

 R  20 G 216    229    220.272      3.632		0.982751479217658 | 0.006902618431591701

 R  20 G 217    229      220.4      3.658		0.992751479217658 | 0.0169026184315917

 R  20 G 218    229    220.568        3.6		1.0 | 0.026902618431591703

 R  20 G 219    231     220.46      3.436		0.992751479217658 | 0.0169026184315917

 R  20 G 220    229    220.532      3.409		0.99 | 0.0

 R  20 G 221    229      220.6      3.495		0.99 | 0.0

 R  20 G 222    229    220.716      3.394		1.0 | 0.0

 R  20 G 223    229    220.812       3.31		1.0 | 0.026902618431591703

 R  20 G 224    229    220.776      3.124		1.0 | 0.026902618431591703

 R  20 G 225    229    220.704      3.363		1.0 | 0.026902618431591703

 R  20 G 226    229    220.824      3.155		1.0 | 0.006902618431591701

 R  20 G 227    231    220.668      3.252		0.99 | 0.0

 R  20 G 228    229    220.756      3.279		1.0 | 0.0

 R  20 G 229    229    220.536      3.358		1.0 | 0.026902618431591703

 R  20 G 230    229    220.736      3.397		1.0 | 0.006902618431591701

 R  20 G 231    231    220.844      3.135		0.99 | 0.0

 R  20 G 232    229     220.66      3.174		1.0 | 0.0

 R  20 G 233    229    220.792       3.45		1.0 | 0.0

 R  20 G 234    229     220.86      3.246		1.0 | 0.026902618431591703

 R  20 G 235    229    220.592      3.175		1.0 | 0.026902618431591703

 R  20 G 236    229    220.864       3.26		1.0 | 0.0

 R  20 G 237    229    220.764       3.47		1.0 | 0.0

 R  20 G 238    229     220.62      3.389		1.0 | 0.026902618431591703

 R  20 G 239    229    220.548      3.301		1.0 | 0.0169026184315917

 R  20 G 240    229     220.76      3.204		1.0 | 0.026902618431591703

 R  20 G 241    229    220.748      3.024		1.0 | 0.0169026184315917

 R  20 G 242    229     220.66      3.319		0.99 | 0.026902618431591703

 R  20 G 243    229    220.724      3.359		1.0 | 0.006902618431591701

 R  20 G 244    229     220.58      3.448		1.0 | 0.006902618431591701

 R  20 G 245    231    220.648      3.544		0.99 | 0.026902618431591703

 R  20 G 246    229     220.72      3.268		1.0 | 0.0169026184315917

 R  20 G 247    229    220.744      3.437		1.0 | 0.006902618431591701

 R  20 G 248    229    220.608      3.526		0.99 | 0.026902618431591703

 R  20 G 249    229    220.588      3.323		1.0 | 0.006902618431591701

 R  20 G 250    229    220.536       3.45		1.0 | 0.006902618431591701

 R  20 G 251    229    220.624       3.41		0.99 | 0.0169026184315917

 R  20 G 252    229    220.476      3.688		1.0 | 0.006902618431591701

 R  20 G 253    229    220.848      3.591		1.0 | 0.006902618431591701

 R  20 G 254    229    220.408       3.59		1.0 | 0.006902618431591701

 R  20 G 255    231    220.636      3.209		0.99 | 0.006902618431591701

 R  20 G 256    229     220.68      3.382		0.99 | 0.006902618431591701

 R  20 G 257    229    220.848      3.356		1.0 | 0.0169026184315917

 R  20 G 258    229    220.716      3.256		1.0 | 0.0169026184315917

 R  20 G 259    231    220.512      3.407		0.99 | 0.0169026184315917

 R  20 G 260    229    220.856       3.39		1.0 | 0.006902618431591701

 R  20 G 261    229     220.84      3.353		1.0 | 0.006902618431591701

 R  20 G 262    229     220.56      3.378		0.99 | 0.0169026184315917

 R  20 G 263    229    220.864      3.175		1.0 | 0.0169026184315917

 R  20 G 264    229    220.776      3.538		1.0 | 0.006902618431591701

 R  20 G 265    229    220.632      3.476		0.99 | 0.0169026184315917

 R  20 G 266    229    220.492      3.291		1.0 | 0.006902618431591701

 R  20 G 267    231    220.812      3.344		0.99 | 0.006902618431591701

 R  20 G 268    229    221.004      3.351		1.0 | 0.006902618431591701

 R  20 G 269    229    220.868      3.254		1.0 | 0.006902618431591701

 R  20 G 270    229    220.884      3.025		1.0 | 0.006902618431591701

 R  20 G 271    229    220.572      3.316		1.0 | 0.0169026184315917

 R  20 G 272    229    220.888      3.322		1.0 | 0.0

 R  20 G 273    231    220.972      3.126		0.99 | 0.0169026184315917

 R  20 G 274    229     220.74      3.196		1.0 | 0.0169026184315917

 R  20 G 275    229    220.756      3.511		1.0 | 0.006902618431591701

 R  20 G 276    229    220.864      3.326		1.0 | 0.0169026184315917

 R  20 G 277    229    220.816      3.335		1.0 | 0.006902618431591701

 R  20 G 278    229    220.792      3.273		1.0 | 0.0169026184315917

 R  20 G 279    229    220.796        3.4		0.99 | 0.0169026184315917

 R  20 G 280    229     220.88      3.312		1.0 | 0.0169026184315917

 R  20 G 281    229    220.548      3.469		1.0 | 0.006902618431591701

 R  20 G 282    229    220.832       3.36		1.0 | 0.0

 R  20 G 283    229    220.896      3.491		1.0 | 0.0169026184315917

 R  20 G 284    229    220.584      3.653		1.0 | 0.0169026184315917

 R  20 G 285    229    220.568      3.431		1.0 | 0.0169026184315917

 R  20 G 286    229    220.608      3.408		1.0 | 0.0

 R  20 G 287    231    220.852      3.324		0.99 | 0.0169026184315917

 R  20 G 288    229     220.76      3.498		1.0 | 0.0169026184315917

 R  20 G 289    229    220.644      3.519		1.0 | 0.0169026184315917

 R  20 G 290    229     220.86      3.438		1.0 | 0.0169026184315917

 R  20 G 291    229    220.836      3.628		1.0 | 0.0169026184315917

 R  20 G 292    229     220.58      3.382		1.0 | 0.0169026184315917

 R  20 G 293    229    220.824      3.246		1.0 | 0.006902618431591701

 R  20 G 294    229    221.044      3.217		1.0 | 0.006902618431591701

 R  20 G 295    231    220.856      3.215		0.99 | 0.0169026184315917

 R  20 G 296    229    220.716      3.363		1.0 | 0.006902618431591701

 R  20 G 297    229    220.956      3.324		1.0 | 0.006902618431591701

 R  20 G 298    229    220.712       3.22		1.0 | 0.0169026184315917

 R  20 G 299    229     220.84      3.429		1.0 | 0.0169026184315917

 R  20 G 300    229    220.876      3.377		1.0 | 0.0

 R  20 G 301    229    220.992      3.248		1.0 | 0.0169026184315917

 R  20 G 302    229    220.828      3.453		1.0 | 0.0

 R  20 G 303    229    220.552      3.271		1.0 | 0.0169026184315917

 R  20 G 304    229    220.684      3.367		1.0 | 0.006902618431591701

 R  20 G 305    229    220.436      3.363		1.0 | 0.0169026184315917

 R  20 G 306    229    220.552      3.227		1.0 | 0.006902618431591701

 R  20 G 307    229    220.956       3.31		1.0 | 0.0169026184315917

 R  20 G 308    229    220.852      3.319		1.0 | 0.0169026184315917

 R  20 G 309    229    220.656      3.337		1.0 | 0.006902618431591701

 R  20 G 310    229    220.888      3.278		1.0 | 0.006902618431591701

 R  20 G 311    229    220.672      3.258		1.0 | 0.0

 R  20 G 312    229    220.644      3.339		1.0 | 0.006902618431591701

 R  20 G 313    229    220.844      3.132		1.0 | 0.0

 R  20 G 314    229    221.052      3.217		1.0 | 0.0

 R  20 G 315    229    220.908      3.348		1.0 | 0.006902618431591701

 R  20 G 316    229    220.636      3.226		1.0 | 0.006902618431591701

 R  20 G 317    229    220.884      3.108		1.0 | 0.0169026184315917

 R  20 G 318    229    220.812      3.211		1.0 | 0.026902618431591703

 R  20 G 319    229    221.156      3.376		1.0 | 0.006902618431591701

 R  20 G 320    229    220.736      3.306		1.0 | 0.0

 R  20 G 321    229    220.712      3.451		1.0 | 0.0169026184315917

 R  20 G 322    229    220.864       3.26		0.99 | 0.0169026184315917

 R  20 G 323    229    220.832      3.426		0.99 | 0.0169026184315917

 R  20 G 324    229     221.04      3.208		1.0 | 0.0

 R  20 G 325    229    220.756      3.385		1.0 | 0.006902618431591701

 R  20 G 326    229    220.656      3.361		1.0 | 0.0169026184315917

 R  20 G 327    229    220.736      3.375		1.0 | 0.006902618431591701

 R  20 G 328    229    220.776      3.294		1.0 | 0.0

 R  20 G 329    229    220.688      3.495		1.0 | 0.006902618431591701

 R  20 G 330    229    220.708      3.393		1.0 | 0.0

 R  20 G 331    229    220.688      3.428		1.0 | 0.006902618431591701

 R  20 G 332    229     220.62      3.269		1.0 | 0.0

 R  20 G 333    229      220.6      3.143		1.0 | 0.0

 R  20 G 334    229    220.736      3.106		0.99 | 0.006902618431591701

 R  20 G 335    229    220.712      3.165		0.99 | 0.006902618431591701

 R  20 G 336    229    220.892      3.006		1.0 | 0.006902618431591701

 R  20 G 337    231    221.236      3.163		0.99 | 0.006902618431591701

 R  20 G 338    229     221.14      3.184		1.0 | 0.0

 R  20 G 339    229    220.824      3.424		1.0 | 0.0

 R  20 G 340    229    221.076      3.226		1.0 | 0.006902618431591701

 R  20 G 341    229    220.872       3.24		1.0 | 0.006902618431591701

 R  20 G 342    229    220.768      3.187		1.0 | 0.006902618431591701

 R  20 G 343    229     220.92      3.306		1.0 | 0.006902618431591701

 R  20 G 344    229     220.78      3.085		1.0 | 0.006902618431591701

 R  20 G 345    229    221.164      3.116		1.0 | 0.0

 R  20 G 346    229    220.768      3.051		1.0 | 0.006902618431591701

 R  20 G 347    229    221.132      3.224		1.0 | 0.006902618431591701

 R  20 G 348    229    220.808      3.177		1.0 | 0.006902618431591701

 R  20 G 349    229    221.064      3.198		1.0 | 0.006902618431591701

 R  20 G 350    229    220.792       3.31		1.0 | 0.0

 R  20 G 351    229    220.928      3.067		1.0 | 0.006902618431591701

 R  20 G 352    229    220.776      3.425		1.0 | 0.006902618431591701

 R  20 G 353    229    221.056       3.34		1.0 | 0.0169026184315917

 R  20 G 354    229    221.068      3.334		1.0 | 0.006902618431591701

 R  20 G 355    229    220.872      3.228		1.0 | 0.0

 R  20 G 356    229    220.592      3.311		1.0 | 0.0

 R  20 G 357    231    220.684        3.4		0.99 | 0.006902618431591701

 R  20 G 358    229    221.072      3.085		1.0 | 0.006902618431591701

 R  20 G 359    229    220.648      3.224		1.0 | 0.006902618431591701

 R  20 G 360    229    220.808      3.294		1.0 | 0.0

 R  20 G 361    229     220.98      3.276		1.0 | 0.0

 R  20 G 362    229    220.996      3.288		1.0 | 0.006902618431591701

 R  20 G 363    229    220.676      3.479		1.0 | 0.0

 R  20 G 364    229    220.728      3.417		1.0 | 0.006902618431591701

 R  20 G 365    231    220.972      3.413		0.99 | 0.0

 R  20 G 366    229    220.904      3.382		1.0 | 0.006902618431591701

 R  20 G 367    229     220.72      3.309		1.0 | 0.006902618431591701

 R  20 G 368    231    220.812       3.45		0.99 | 0.006902618431591701

 R  20 G 369    229    220.548      3.515		0.99 | 0.0

 R  20 G 370    229    220.852      3.445		1.0 | 0.0

 R  20 G 371    229    220.948      3.317		0.99 | 0.006902618431591701

 R  20 G 372    229    221.056      3.213		0.99 | 0.0

 R  20 G 373    229    220.612      3.619		1.0 | 0.0

 R  20 G 374    229    220.832      3.298		0.99 | 0.006902618431591701

 R  20 G 375    229    220.788      3.441		1.0 | 0.006902618431591701

 R  20 G 376    229    220.696      3.487		1.0 | 0.006902618431591701

 R  20 G 377    229     220.92      3.259		1.0 | 0.0

 R  20 G 378    229    221.272      3.156		0.99 | 0.0

 R  20 G 379    229    221.212      3.155		1.0 | 0.0

 R  20 G 380    229    220.852      3.122		1.0 | 0.0

 R  20 G 381    229    220.948      3.452		1.0 | 0.0

 R  20 G 382    229    220.932      3.374		1.0 | 0.0

 R  20 G 383    229     220.84      3.327		1.0 | 0.006902618431591701

 R  20 G 384    229    220.572      3.507		1.0 | 0.0

 R  20 G 385    229    220.752      3.297		1.0 | 0.026902618431591703

 R  20 G 386    233     220.64      3.614		0.99 | 0.01

 R  20 G 387    229    220.904      3.384		1.0 | 0.0

 R  20 G 388    231    220.944      3.547		0.99 | 0.0

 R  20 G 389    229    220.992      3.275		0.99 | 0.0

 R  20 G 390    229    220.968      3.255		0.99 | 0.0

 R  20 G 391    229    220.848      3.473		0.99 | 0.0

 R  20 G 392    231    220.672      3.454		0.99 | 0.01

 R  20 G 393    233    220.872      3.592		0.98 | 0.01

 R  20 G 394    229     220.82      3.544		0.99 | 0.0

 R  20 G 395    229    220.824      3.442		0.99 | 0.01

 R  20 G 396    229     220.72      3.461		1.0 | 0.0

 R  20 G 397    229    220.636      3.493		1.0 | 0.0

 R  20 G 398    229    221.012      3.339		1.0 | 0.0

 R  20 G 399    229    220.968      3.165		1.0 | 0.0

 R  20 G 400    231    220.996      3.427		0.99 | 0.0

 R  20 G 401    229    220.956      3.413		1.0 | 0.0

 R  20 G 402    231    220.804      3.343		0.99 | 0.0

 R  20 G 403    229    220.928      3.277		1.0 | 0.0

 R  20 G 404    229    220.964      3.334		1.0 | 0.0

 R  20 G 405    229    220.952      3.109		1.0 | 0.0

 R  20 G 406    231    220.724      3.397		0.99 | 0.0

 R  20 G 407    229     221.02      3.172		1.0 | 0.0

 R  20 G 408    229    220.792      3.216		1.0 | 0.0

 R  20 G 409    229      220.9      3.213		1.0 | 0.0

 R  20 G 410    229     221.04      3.203		1.0 | 0.01

 R  20 G 411    229    220.884      3.242		0.99 | 0.0

 R  20 G 412    229    220.824      3.248		1.0 | 0.0

 R  20 G 413    229     220.96      3.402		1.0 | 0.0

 R  20 G 414    229     220.86      3.216		1.0 | 0.0

 R  20 G 415    229     220.76      3.281		1.0 | 0.0

 R  20 G 416    231    220.824      3.613		0.99 | 0.0

 R  20 G 417    229      220.9      3.328		1.0 | 0.0

 R  20 G 418    229     220.94      3.464		1.0 | 0.01

 R  20 G 419    229    220.896      3.184		1.0 | 0.0

 R  20 G 420    229    220.888      3.319		1.0 | 0.0

 R  20 G 421    229    220.952       3.34		1.0 | 0.0

 R  20 G 422    229    220.636      3.283		1.0 | 0.0

 R  20 G 423    229    220.748      3.291		1.0 | 0.01

 R  20 G 424    229    220.776       3.25		1.0 | 0.0

 R  20 G 425    229      220.8       3.41		1.0 | 0.0

 R  20 G 426    231    220.896      3.194		0.99 | 0.0

 R  20 G 427    229      220.8      3.224		1.0 | 0.0

 R  20 G 428    229     220.86      3.322		0.99 | 0.0

 R  20 G 429    229    220.992      3.186		1.0 | 0.0

 R  20 G 430    229     220.82      3.048		1.0 | 0.0

 R  20 G 431    229    220.888      3.322		1.0 | 0.0

 R  20 G 432    229    220.964      3.237		1.0 | 0.0

 R  20 G 433    229    220.864       3.19		1.0 | 0.0

 R  20 G 434    229    220.856      3.106		1.0 | 0.0

 R  20 G 435    229    220.992      3.275		1.0 | 0.0

 R  20 G 436    229    221.112      3.115		1.0 | 0.0

 R  20 G 437    229    221.048      3.245		0.99 | 0.0

 R  20 G 438    229     220.98      3.286		1.0 | 0.0

 R  20 G 439    229    221.292      3.211		1.0 | 0.0

 R  20 G 440    229    221.108      3.299		1.0 | 0.0

 R  20 G 441    229    220.988      3.162		1.0 | 0.01

 R  20 G 442    229    221.048      3.049		1.0 | 0.01

 R  20 G 443    229    220.956      3.005		1.0 | 0.0

 R  20 G 444    229    221.004      3.303		1.0 | 0.0

 R  20 G 445    227    220.988       3.11		1.0 | 0.01

 R  20 G 446    229     220.86      3.151		1.0 | 0.0

 R  20 G 447    229    220.768      3.274		1.0 | 0.01

 R  20 G 448    229    220.908       3.15		1.0 | 0.0

 R  20 G 449    229    220.808      3.142		1.0 | 0.0

 R  20 G 450    229     220.88      3.145		1.0 | 0.0

 R  20 G 451    229    220.832      3.216		1.0 | 0.0

 R  20 G 452    229    220.904      3.194		1.0 | 0.0

 R  20 G 453    229    220.772      3.241		1.0 | 0.01

 R  20 G 454    229    220.972      3.192		1.0 | 0.0

 R  20 G 455    229    221.016      3.117		1.0 | 0.01

 R  20 G 456    229     220.88      3.307		1.0 | 0.01

 R  20 G 457    229    220.656      3.227		1.0 | 0.0

 R  20 G 458    229    220.656      2.993		1.0 | 0.01

 R  20 G 459    229    220.904      3.239		1.0 | 0.01

 R  20 G 460    229    220.952      3.145		1.0 | 0.0

 R  20 G 461    229    220.816      3.218		1.0 | 0.0

 R  20 G 462    227    220.916      3.057		1.0 | 0.01

 R  20 G 463    229    221.052      3.164		1.0 | 0.0

 R  20 G 464    229    221.132      3.327		1.0 | 0.0

 R  20 G 465    229    220.924      3.002		1.0 | 0.01

 R  20 G 466    229    221.056      3.195		1.0 | 0.01

 R  20 G 467    229     220.78      3.105		1.0 | 0.0

 R  20 G 468    229    220.844      3.165		1.0 | 0.0

 R  20 G 469    229    221.036      3.048		1.0 | 0.0

 R  20 G 470    229    221.004      3.212		1.0 | 0.01

 R  20 G 471    229      221.0      3.241		1.0 | 0.0

 R  20 G 472    229    220.924      3.251		1.0 | 0.0

 R  20 G 473    229    220.948      3.276		1.0 | 0.0

 R  20 G 474    229    221.024      3.173		1.0 | 0.0

 R  20 G 475    229    221.064       3.25		1.0 | 0.0

 R  20 G 476    229    220.824      3.255		1.0 | 0.0

 R  20 G 477    229     220.58      3.365		0.99 | 0.0

 R  20 G 478    229    220.776       3.28		1.0 | 0.01

 R  20 G 479    229    220.452      3.368		1.0 | 0.0

 R  20 G 480    229    220.672      3.254		1.0 | 0.0

 R  20 G 481    229    220.976      3.114		1.0 | 0.01

 R  20 G 482    229     220.82      3.174		1.0 | 0.01

 R  20 G 483    229     220.98      3.121		1.0 | 0.0

 R  20 G 484    229    220.764      3.226		1.0 | 0.0

 R  20 G 485    231     220.74      3.353		0.99 | 0.0

 R  20 G 486    229    220.876       3.42		1.0 | 0.01

 R  20 G 487    229    220.732      3.321		1.0 | 0.0

 R  20 G 488    229      220.7      3.044		1.0 | 0.01

 R  20 G 489    229    221.084      3.015		1.0 | 0.0

 R  20 G 490    229      221.1      3.243		1.0 | 0.0

 R  20 G 491    229      221.1      3.223		1.0 | 0.0

 R  20 G 492    229    221.088      3.154		1.0 | 0.0

 R  20 G 493    231     220.84       3.38		0.99 | 0.0

 R  20 G 494    229    220.872      3.135		1.0 | 0.0

 R  20 G 495    229     220.74       3.37		1.0 | 0.0

 R  20 G 496    233    220.924      3.314		0.99 | 0.0

 R  20 G 497    229     220.68      3.303		1.0 | 0.0

 R  20 G 498    229    220.968      3.196		1.0 | 0.0

 R  20 G 499    229    221.032      3.529		0.99 | 0.0

20     4        1.0        0.0 RawFitness
           0          0          237

 R  21 G   0    241    202.056     12.821		0.6459037527688105 | 0.9740941848767484

 R  21 G   1    231     203.76     11.574		0.8662152758640401 | 0.19451551838558145

 R  21 G   2    233    205.876     11.023		0.6439949128343213 | 0.01714374084422754

 R  21 G   3    235    206.584     10.805		0.8820626356194524 | 0.20248101526111995

 R  21 G   4    233    208.256     10.532		0.7729142401121238 | 0.028958751352997636

 R  21 G   5    235     209.12     10.132		0.8634953654732235 | 0.12580691484648554

 R  21 G   6    231    210.848      9.474		0.9727674057875271 | 0.15561166641213142

 R  21 G   7    239     210.42      9.539		0.8634953654732235 | 0.12580691484648554

 R  21 G   8    233    211.276      9.185		0.9456432783859813 | 0.07137396777501172

 R  21 G   9    233    212.008      8.958		0.8634953654732235 | 0.12580691484648554

 R  21 G  10    237    212.708      8.289		0.6649824897169537 | 0.1217557654543513

 R  21 G  11    231    212.676      8.461		0.8634953654732235 | 0.12580691484648554

 R  21 G  12    235    213.384      8.037		0.9456432783859813 | 0.07137396777501172

 R  21 G  13    239    214.148      8.091		0.9456432783859813 | 0.07137396777501172

 R  21 G  14    237    213.908      7.929		0.9456432783859813 | 0.07137396777501172

 R  21 G  15    233    214.488       7.71		0.9456432783859813 | 0.07137396777501172

 R  21 G  16    233    215.204      7.621		0.9456432783859813 | 0.07137396777501172

 R  21 G  17    235    215.224      7.627		0.8634953654732235 | 0.12580691484648554

 R  21 G  18    237    214.988      7.728		0.8534953654732235 | 0.12580691484648554

 R  21 G  19    231    215.016      8.044		0.9556432783859813 | 0.07137396777501172

 R  21 G  20    237    216.028      7.361		0.8534953654732235 | 0.12580691484648554

 R  21 G  21    233    215.736      7.459		0.9456432783859813 | 0.07137396777501172

 R  21 G  22    233    215.804       7.43		0.9456432783859813 | 0.07137396777501172

 R  21 G  23    233    215.696      7.277		0.9456432783859813 | 0.08137396777501171

 R  21 G  24    231    215.908      7.248		0.9456432783859813 | 0.07137396777501172

 R  21 G  25    233    216.228      6.983		0.9456432783859813 | 0.07137396777501172

 R  21 G  26    233    215.492      7.365		0.8634953654732235 | 0.11580691484648555

 R  21 G  27    233    215.716      7.398		0.8634953654732235 | 0.12580691484648554

 R  21 G  28    233    216.716      7.127		0.9556432783859813 | 0.07137396777501172

 R  21 G  29    239    215.856      6.989		0.9456432783859813 | 0.07137396777501172

 R  21 G  30    233    217.048       6.62		0.9456432783859813 | 0.07137396777501172

 R  21 G  31    231    216.868      6.652		0.9556432783859813 | 0.07137396777501172

 R  21 G  32    233      216.9      6.986		0.9456432783859813 | 0.07137396777501172

 R  21 G  33    231    216.604      6.701		0.9556432783859813 | 0.07137396777501172

 R  21 G  34    233    216.324      6.934		0.9456432783859813 | 0.07137396777501172

 R  21 G  35    233    216.756      6.655		0.9456432783859813 | 0.07137396777501172

 R  21 G  36    233    216.612      6.947		0.9456432783859813 | 0.07137396777501172

 R  21 G  37    235     217.16      6.637		0.9456432783859813 | 0.07137396777501172

 R  21 G  38    237    216.532      7.234		0.9456432783859813 | 0.07137396777501172

 R  21 G  39    233      216.8      6.564		0.9456432783859813 | 0.07137396777501172

 R  21 G  40    233    216.896      7.114		0.9356432783859813 | 0.07137396777501172

 R  21 G  41    237      217.0      6.536		0.9456432783859813 | 0.07137396777501172

 R  21 G  42    233    216.352      6.973		0.9556432783859813 | 0.07137396777501172

 R  21 G  43    233    216.704      7.091		0.9456432783859813 | 0.07137396777501172

 R  21 G  44    233    216.952      7.224		0.9456432783859813 | 0.07137396777501172

 R  21 G  45    231    217.168      6.516		0.9456432783859813 | 0.07137396777501172

 R  21 G  46    233    216.228      6.904		0.9556432783859813 | 0.07137396777501172

 R  21 G  47    233    216.772      6.657		0.9456432783859813 | 0.08137396777501171

 R  21 G  48    233    216.596      6.443		0.9456432783859813 | 0.07137396777501172

 R  21 G  49    233     216.56      6.784		0.9556432783859813 | 0.08137396777501171

 R  21 G  50    235    216.872      6.731		0.9456432783859813 | 0.07137396777501172

 R  21 G  51    235     215.86      7.278		0.9556432783859813 | 0.061373967775011716

 R  21 G  52    233    217.048      6.684		0.9456432783859813 | 0.07137396777501172

 R  21 G  53    241    216.628      7.054		0.9456432783859813 | 0.07137396777501172

 R  21 G  54    235    216.772      7.004		0.9556432783859813 | 0.07137396777501172

 R  21 G  55    233    216.684      6.722		0.9556432783859813 | 0.07137396777501172

 R  21 G  56    231    216.608      6.477		0.9656432783859813 | 0.07137396777501172

 R  21 G  57    233    216.864      7.001		0.9556432783859813 | 0.061373967775011716

 R  21 G  58    233    216.604      6.923		0.9456432783859813 | 0.07137396777501172

 R  21 G  59    231     217.36      6.678		0.9456432783859813 | 0.07137396777501172

 R  21 G  60    237    216.312      6.655		0.9456432783859813 | 0.07137396777501172

 R  21 G  61    233    217.056      6.461		0.9456432783859813 | 0.061373967775011716

 R  21 G  62    231    216.564      6.895		0.9456432783859813 | 0.07137396777501172

 R  21 G  63    231     217.02      6.392		0.9456432783859813 | 0.07137396777501172

 R  21 G  64    233     216.88      6.551		0.9456432783859813 | 0.07137396777501172

 R  21 G  65    237    216.684      6.886		0.9456432783859813 | 0.07137396777501172

 R  21 G  66    233    217.136      6.737		0.9456432783859813 | 0.07137396777501172

 R  21 G  67    231    216.832       6.55		0.9556432783859813 | 0.07137396777501172

 R  21 G  68    235    216.212      7.186		0.9456432783859813 | 0.07137396777501172

 R  21 G  69    237    216.708       6.97		0.9456432783859813 | 0.07137396777501172

 R  21 G  70    231    217.132      6.895		0.9656432783859813 | 0.07137396777501172

 R  21 G  71    233    216.888      7.004		0.9456432783859813 | 0.061373967775011716

 R  21 G  72    233    216.388      7.164		0.9656432783859813 | 0.07137396777501172

 R  21 G  73    235    216.604      6.803		0.9756432783859813 | 0.07137396777501172

 R  21 G  74    233     216.76      6.453		0.9456432783859813 | 0.07137396777501172

 R  21 G  75    231     215.98      7.238		0.9656432783859813 | 0.07137396777501172

 R  21 G  76    233     216.96      6.679		0.9456432783859813 | 0.07137396777501172

 R  21 G  77    235    216.416      7.306		0.9456432783859813 | 0.07137396777501172

 R  21 G  78    231     216.42      6.657		0.9456432783859813 | 0.07137396777501172

