Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009
 R   1 G 118    229    220.448      3.409		0.997901979620712 | 0.025625362030093815

 R   1 G 119    229    220.496      3.552		0.997901979620712 | 0.025625362030093815

 R   1 G 120    229    220.528      3.557		0.997901979620712 | 0.025625362030093815

 R   1 G 121    229    220.328      3.627		0.997901979620712 | 0.03562536203009382

 R   1 G 122    229    220.464      3.442		0.997901979620712 | 0.025625362030093815

 R   1 G 123    233     220.08      3.767		0.977901979620712 | 0.025625362030093815

 R   1 G 124    229    220.016      3.749		0.977901979620712 | 0.025625362030093815

 R   1 G 125    229    220.152      3.754		0.997901979620712 | 0.025625362030093815

 R   1 G 126    229    220.652      3.547		0.997901979620712 | 0.025625362030093815

 R   1 G 127    229    220.264      3.657		0.997901979620712 | 0.03562536203009382

 R   1 G 128    229    220.448      3.608		1.0 | 0.04562536203009382

 R   1 G 129    229     220.66      3.281		0.997901979620712 | 0.025625362030093815

 R   1 G 130    229    220.524      3.475		1.0 | 0.025625362030093815

 R   1 G 131    229    220.336      3.448		0.997901979620712 | 0.03562536203009382

 R   1 G 132    229    220.636      3.582		1.0 | 0.015625362030093813

 R   1 G 133    229    220.636       3.44		0.997901979620712 | 0.025625362030093815

 R   1 G 134    229    220.296      3.534		1.0 | 0.025625362030093815

 R   1 G 135    229    220.316      3.841		0.997901979620712 | 0.025625362030093815

 R   1 G 136    229    220.668      3.592		0.997901979620712 | 0.03562536203009382

 R   1 G 137    229    220.072      3.582		0.997901979620712 | 0.015625362030093813

 R   1 G 138    229    220.508      3.413		0.997901979620712 | 0.025625362030093815

 R   1 G 139    229    220.476      3.519		0.997901979620712 | 0.025625362030093815

 R   1 G 140    229    220.076      3.518		0.997901979620712 | 0.025625362030093815

 R   1 G 141    229    220.076      3.555		0.997901979620712 | 0.015625362030093813

 R   1 G 142    229    220.444        3.6		0.997901979620712 | 0.025625362030093815

 R   1 G 143    229    220.192      3.595		0.997901979620712 | 0.025625362030093815

 R   1 G 144    229    220.424      3.677		0.997901979620712 | 0.025625362030093815

 R   1 G 145    229    220.276      3.792		0.997901979620712 | 0.025625362030093815

 R   1 G 146    229    220.224      3.727		0.997901979620712 | 0.015625362030093813

 R   1 G 147    229    220.376      3.563		0.997901979620712 | 0.025625362030093815

 R   1 G 148    229    220.376      3.469		1.0 | 0.025625362030093815

 R   1 G 149    231    220.344      3.679		0.997901979620712 | 0.025625362030093815

 R   1 G 150    229    220.132      3.742		0.997901979620712 | 0.025625362030093815

 R   1 G 151    229    220.564      3.583		0.997901979620712 | 0.025625362030093815

 R   1 G 152    229     220.54      3.633		0.997901979620712 | 0.025625362030093815

 R   1 G 153    229     220.48      3.837		0.997901979620712 | 0.03562536203009382

 R   1 G 154    229    220.208      3.504		0.997901979620712 | 0.025625362030093815

 R   1 G 155    229    220.228      3.541		0.997901979620712 | 0.025625362030093815

 R   1 G 156    231    220.412      3.472		0.997901979620712 | 0.025625362030093815

 R   1 G 157    231    220.388      3.555		0.997901979620712 | 0.025625362030093815

 R   1 G 158    231    220.268      3.773		0.997901979620712 | 0.025625362030093815

 R   1 G 159    229     220.28      3.462		0.997901979620712 | 0.03562536203009382

 R   1 G 160    229    220.356      3.734		0.997901979620712 | 0.015625362030093813

 R   1 G 161    231    220.084      3.655		0.987901979620712 | 0.025625362030093815

 R   1 G 162    229    220.672      3.679		0.987901979620712 | 0.03562536203009382

 R   1 G 163    229    220.364      3.818		0.987901979620712 | 0.015625362030093813

 R   1 G 164    229    220.516      3.502		0.997901979620712 | 0.03562536203009382

 R   1 G 165    229    220.164      3.534		0.997901979620712 | 0.025625362030093815

 R   1 G 166    229    220.708      3.548		0.997901979620712 | 0.015625362030093813

 R   1 G 167    229    220.348      3.803		0.997901979620712 | 0.03562536203009382

 R   1 G 168    229    220.308      3.547		0.997901979620712 | 0.015625362030093813

 R   1 G 169    229    220.088      3.843		0.997901979620712 | 0.025625362030093815

 R   1 G 170    229    220.548      3.691		0.997901979620712 | 0.015625362030093813

 R   1 G 171    229    220.276      3.652		0.997901979620712 | 0.03562536203009382

 R   1 G 172    229     220.46       3.55		0.997901979620712 | 0.025625362030093815

 R   1 G 173    229    220.344      3.687		0.997901979620712 | 0.025625362030093815

 R   1 G 174    229    220.724      3.605		0.997901979620712 | 0.025625362030093815

 R   1 G 175    229    220.288      3.657		0.997901979620712 | 0.03562536203009382

 R   1 G 176    229    220.564      3.542		0.997901979620712 | 0.015625362030093813

 R   1 G 177    229    220.472      3.574		1.0 | 0.025625362030093815

 R   1 G 178    229    220.288      3.604		0.997901979620712 | 0.025625362030093815

 R   1 G 179    231    220.724      3.632		0.997901979620712 | 0.015625362030093813

 R   1 G 180    231    220.448      3.661		0.997901979620712 | 0.025625362030093815

 R   1 G 181    231    220.496       3.41		0.997901979620712 | 0.025625362030093815

 R   1 G 182    229    220.516      3.411		0.997901979620712 | 0.025625362030093815

 R   1 G 183    229    220.424      3.541		0.997901979620712 | 0.025625362030093815

 R   1 G 184    229    220.332      3.704		0.997901979620712 | 0.025625362030093815

 R   1 G 185    229    220.224      3.609		1.0 | 0.015625362030093813

 R   1 G 186    233    220.144      3.774		0.987901979620712 | 0.03562536203009382

 R   1 G 187    229     220.56      3.771		0.997901979620712 | 0.025625362030093815

 R   1 G 188    229    220.468      3.702		0.997901979620712 | 0.025625362030093815

 R   1 G 189    231    220.664      3.674		0.997901979620712 | 0.025625362030093815

 R   1 G 190    229      220.5      3.792		0.997901979620712 | 0.025625362030093815

 R   1 G 191    229    220.148      3.622		1.0 | 0.015625362030093813

 R   1 G 192    229    220.244      3.488		0.997901979620712 | 0.025625362030093815

 R   1 G 193    229    220.516      3.572		0.997901979620712 | 0.015625362030093813

 R   1 G 194    229    220.768      3.529		0.997901979620712 | 0.025625362030093815

 R   1 G 195    229    220.092      3.538		0.997901979620712 | 0.015625362030093813

 R   1 G 196    229    220.544      3.601		1.0 | 0.025625362030093815

 R   1 G 197    229    220.276      3.556		0.997901979620712 | 0.025625362030093815

 R   1 G 198    229    220.224      3.431		0.997901979620712 | 0.025625362030093815

 R   1 G 199    229    220.448      3.525		0.997901979620712 | 0.025625362030093815

 R   1 G 200    229    220.756      3.596		0.997901979620712 | 0.025625362030093815

 R   1 G 201    231     220.36      3.537		0.997901979620712 | 0.025625362030093815

 R   1 G 202    229    220.532      3.741		0.997901979620712 | 0.025625362030093815

 R   1 G 203    229    220.548      3.912		0.997901979620712 | 0.025625362030093815

 R   1 G 204    229    220.404      3.571		0.997901979620712 | 0.025625362030093815

 R   1 G 205    229    220.464      3.433		0.997901979620712 | 0.03562536203009382

 R   1 G 206    229    220.516      3.369		0.997901979620712 | 0.025625362030093815

 R   1 G 207    229    220.144      3.642		0.997901979620712 | 0.025625362030093815

 R   1 G 208    229    220.128      3.755		0.997901979620712 | 0.025625362030093815

 R   1 G 209    231    220.532      3.392		0.997901979620712 | 0.025625362030093815

 R   1 G 210    231      220.6      3.472		0.997901979620712 | 0.03562536203009382

 R   1 G 211    229    220.488      3.441		0.997901979620712 | 0.025625362030093815

 R   1 G 212    231    220.572        3.5		0.997901979620712 | 0.03562536203009382

