Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348     205.64     73.431		0.10070556186895041 | 0.06107305562731147

 R  62 G  20    330     219.82     78.884		0.36844915513264054 | 0.6804584765563133

 R  62 G  21    326     205.52     76.911		0.38844915513264056 | 0.6704584765563133

 R  62 G  22    322     201.62      74.67		0.39844915513264056 | 0.6704584765563133

 R  62 G  23    332     211.16     80.701		0.36844915513264054 | 0.6804584765563133

 R  62 G  24    326     213.08     77.761		0.37844915513264055 | 0.6804584765563133

 R  62 G  25    326     210.02     82.116		0.39844915513264056 | 0.6804584765563133

 R  62 G  26    326     216.44     72.255		0.36844915513264054 | 0.7004584765563133

 R  62 G  27    322     203.52     83.626		0.39844915513264056 | 0.6804584765563133

 R  62 G  28    326     202.82     76.373		0.38844915513264056 | 0.6604584765563133

 R  62 G  29    322     200.96     76.448		0.39844915513264056 | 0.6504584765563133

 R  62 G  30    322     214.74     73.248		0.39844915513264056 | 0.6804584765563133

 R  62 G  31    322     205.48     75.164		0.39844915513264056 | 0.6704584765563133

 R  62 G  32    318     209.82     69.796		0.39844915513264056 | 0.6804584765563133

 R  62 G  33    324     211.86     77.927		0.39844915513264056 | 0.6604584765563133

 R  62 G  34    320     206.68     69.353		0.36844915513264054 | 0.6504584765563133

 R  62 G  35    318     211.88     69.977		0.4084491551326406 | 0.6704584765563133

 R  62 G  36    326     211.42     78.678		0.39844915513264056 | 0.6704584765563133

 R  62 G  37    328     222.94     66.349		0.38844915513264056 | 0.6504584765563133

 R  62 G  38    324      210.3     86.208		0.39844915513264056 | 0.6604584765563133

 R  62 G  39    324     218.46     69.931		0.38844915513264056 | 0.6604584765563133

 R  62 G  40    326     209.88     74.695		0.38844915513264056 | 0.6604584765563133

 R  62 G  41    316     215.18     77.794		0.38844915513264056 | 0.6604584765563133

 R  62 G  42    328     206.42     80.958		0.38844915513264056 | 0.6604584765563133

 R  62 G  43    324     210.18     63.149		0.39844915513264056 | 0.6604584765563133

 R  62 G  44    324     213.18     76.774		0.38844915513264056 | 0.6604584765563133

 R  62 G  45    322     218.06     75.953		0.38844915513264056 | 0.6704584765563133

 R  62 G  46    324     218.36     62.569		0.38844915513264056 | 0.6604584765563133

 R  62 G  47    324      198.2     74.328		0.39844915513264056 | 0.6704584765563133

 R  62 G  48    320     205.62     76.713		0.39844915513264056 | 0.6604584765563133

 R  62 G  49    324     220.78     78.363		0.38844915513264056 | 0.6604584765563133

 R  62 G  50    318     200.54     83.278		0.4184491551326406 | 0.6804584765563133

 R  62 G  51    320     217.64      68.85		0.38844915513264056 | 0.6504584765563133

 R  62 G  52    322      201.6      74.98		0.36844915513264054 | 0.6504584765563133

 R  62 G  53    326     202.06     76.019		0.39844915513264056 | 0.6504584765563133

 R  62 G  54    324     201.04     79.247		0.37844915513264055 | 0.6504584765563133

 R  62 G  55    324     199.54     77.357		0.36844915513264054 | 0.6604584765563133

 R  62 G  56    322      207.1     76.584		0.36844915513264054 | 0.6604584765563133

 R  62 G  57    320     202.76      70.52		0.36844915513264054 | 0.6404584765563133

 R  62 G  58    328     216.94     74.118		0.36844915513264054 | 0.6404584765563133

 R  62 G  59    322     207.98     71.276		0.36844915513264054 | 0.6304584765563133

 R  62 G  60    322     220.38     69.825		0.36844915513264054 | 0.6304584765563133

 R  62 G  61    324     204.94     78.903		0.36844915513264054 | 0.6404584765563133

 R  62 G  62    324     209.96      70.82		0.37844915513264055 | 0.6404584765563133

 R  62 G  63    322     213.68     74.326		0.35844915513264053 | 0.6404584765563133

 R  62 G  64    334     207.56     76.145		0.38844915513264056 | 0.6704584765563133

 R  62 G  65    330     203.66     75.234		0.36844915513264054 | 0.6204584765563133

 R  62 G  66    326     199.88     72.913		0.37844915513264055 | 0.6804584765563133

 R  62 G  67    324     202.18       68.8		0.37844915513264055 | 0.6504584765563133

 R  62 G  68    322     199.92     79.173		0.36844915513264054 | 0.6404584765563133

 R  62 G  69    324     222.22     72.549		0.35844915513264053 | 0.6504584765563133

 R  62 G  70    328     213.26     75.237		0.3484491551326405 | 0.6504584765563133

 R  62 G  71    324      211.1     79.364		0.35844915513264053 | 0.6504584765563133

 R  62 G  72    324      199.7     73.298		0.37844915513264055 | 0.6504584765563133

 R  62 G  73    328     209.08     68.319		0.36844915513264054 | 0.6404584765563133

 R  62 G  74    328     212.24      71.89		0.37844915513264055 | 0.6304584765563133

 R  62 G  75    326      212.4     75.371		0.3484491551326405 | 0.6404584765563133

 R  62 G  76    328     205.66     84.208		0.36844915513264054 | 0.6504584765563133

 R  62 G  77    322     208.08     76.966		0.35844915513264053 | 0.6604584765563133

 R  62 G  78    332     207.54     87.778		0.35844915513264053 | 0.6504584765563133

 R  62 G  79    324     192.48     75.407		0.35844915513264053 | 0.6504584765563133

 R  62 G  80    324     212.04     81.726		0.37844915513264055 | 0.6404584765563133

 R  62 G  81    328     218.08     72.157		0.35844915513264053 | 0.6204584765563133

 R  62 G  82    320     216.34     75.178		0.37844915513264055 | 0.6404584765563133

 R  62 G  83    326     210.16     76.606		0.35844915513264053 | 0.6604584765563133

 R  62 G  84    330     206.08     80.608		0.3484491551326405 | 0.6604584765563133

 R  62 G  85    326     214.32      80.29		0.38844915513264056 | 0.6604584765563133

 R  62 G  86    318     220.26     72.781		0.35844915513264053 | 0.6604584765563133

 R  62 G  87    326     212.82     65.792		0.37844915513264055 | 0.6604584765563133

 R  62 G  88    328      212.1     79.058		0.37844915513264055 | 0.6404584765563133

 R  62 G  89    326      227.4     69.827		0.36844915513264054 | 0.6404584765563133

 R  62 G  90    324      215.6     75.328		0.37844915513264055 | 0.6404584765563133

 R  62 G  91    320     206.66     68.873		0.37844915513264055 | 0.6404584765563133

 R  62 G  92    334     206.86     70.017		0.36844915513264054 | 0.6404584765563133

 R  62 G  93    320     214.36     68.923		0.35844915513264053 | 0.6504584765563133

 R  62 G  94    318      199.2     72.011		0.36844915513264054 | 0.6404584765563133

 R  62 G  95    330     201.08      70.87		0.36844915513264054 | 0.6404584765563133

 R  62 G  96    326      217.6     71.241		0.36844915513264054 | 0.6304584765563133

 R  62 G  97    324     207.32     81.731		0.39844915513264056 | 0.6504584765563133

 R  62 G  98    324     210.86     78.309		0.36844915513264054 | 0.6304584765563133

 R  62 G  99    330     209.44     76.487		0.36844915513264054 | 0.6304584765563133

62     0###################### RawFitness
           0          0          350

 R  63 G   0    348     207.94     73.677		0.031303281891511214 | 0.9429963319937624

 R  63 G   1    342     212.16     68.216		0.05880420485980786 | 0.30938875862475224

 R  63 G   2    348      203.4     72.989		0.021303281891511212 | 0.9429963319937624

 R  63 G   3    344      207.3     72.275		0.10823473450918497 | 0.05990151773575658

 R  63 G   4    346      206.7     67.556		0.10823473450918497 | 0.05990151773575658

 R  63 G   5    338      194.4     71.541		0.2707078705270284 | 0.16620155593686137

 R  63 G   6    342      211.5      71.44		0.10823473450918497 | 0.05990151773575658

 R  63 G   7    334     216.44     69.558		0.10823473450918497 | 0.05990151773575658

 R  63 G   8    344     212.54     70.607		0.10823473450918497 | 0.06990151773575658

 R  63 G   9    340     210.32      68.75		0.24240409344101455 | 0.7099177772547013

 R  63 G  10    336     195.42     68.345		0.24240409344101455 | 0.7099177772547013

 R  63 G  11    336     202.24     78.651		0.24240409344101455 | 0.6999177772547013

 R  63 G  12    334      206.1     66.498		0.25240409344101455 | 0.6999177772547013

 R  63 G  13    334     207.64     77.058		0.24240409344101455 | 0.6999177772547013

 R  63 G  14    342     217.32     65.721		0.23240409344101454 | 0.7199177772547013

 R  63 G  15    340     216.12     74.682		0.24240409344101455 | 0.6899177772547013

 R  63 G  16    338     223.38     64.202		0.24240409344101455 | 0.6899177772547013

 R  63 G  17    332     202.82     77.032		0.24240409344101455 | 0.7099177772547013

 R  63 G  18    334     217.56     76.306		0.2618189352169418 | 0.5475975726611344

 R  63 G  19    342     209.52     76.408		0.24240409344101455 | 0.7099177772547013

 R  63 G  20    332     214.78     66.068		0.2618189352169418 | 0.5475975726611344

 R  63 G  21    336      221.7      69.57		0.2618189352169418 | 0.5475975726611344

 R  63 G  22    334     209.42     70.333		0.2618189352169418 | 0.5475975726611344

 R  63 G  23    338     211.06     73.795		0.25181893521694176 | 0.5475975726611344

 R  63 G  24    338     207.26     72.729		0.2618189352169418 | 0.5475975726611344

 R  63 G  25    336      207.6     72.377		0.2618189352169418 | 0.5475975726611344

 R  63 G  26    332     210.18     83.058		0.24181893521694175 | 0.5475975726611344

 R  63 G  27    340      201.0     75.401		0.2818189352169418 | 0.5475975726611344

 R  63 G  28    338     229.16     68.741		0.25181893521694176 | 0.5475975726611344

 R  63 G  29    338     219.98     71.437		0.2718189352169418 | 0.5375975726611344

 R  63 G  30    336     207.84     75.537		0.2718189352169418 | 0.5475975726611344

 R  63 G  31    334     212.66     71.376		0.2718189352169418 | 0.5675975726611344

 R  63 G  32    336     219.94     78.666		0.2718189352169418 | 0.5475975726611344

 R  63 G  33    332     220.12     67.497		0.2718189352169418 | 0.5375975726611344

 R  63 G  34    334     224.72     77.513		0.2718189352169418 | 0.5575975726611344

 R  63 G  35    334     222.98     66.157		0.2618189352169418 | 0.5375975726611344

 R  63 G  36    336      214.0     78.121		0.2718189352169418 | 0.5475975726611344

 R  63 G  37    338     220.04     73.595		0.2718189352169418 | 0.5875975726611344

 R  63 G  38    328     213.62     70.661		0.25181893521694176 | 0.5375975726611344

 R  63 G  39    334     218.42     72.616		0.2618189352169418 | 0.5375975726611344

 R  63 G  40    336     211.46     77.479		0.2718189352169418 | 0.5875975726611344

 R  63 G  41    334      214.5     80.205		0.2718189352169418 | 0.5675975726611344

 R  63 G  42    336     207.66     74.103		0.2818189352169418 | 0.5475975726611344

 R  63 G  43    338     219.14     67.053		0.2618189352169418 | 0.5975975726611344

 R  63 G  44    330     209.46     74.116		0.25181893521694176 | 0.5975975726611344

 R  63 G  45    336     201.94     73.777		0.25181893521694176 | 0.5975975726611344

 R  63 G  46    332     212.74     71.996		0.3018189352169418 | 0.5575975726611344

 R  63 G  47    334      209.1     72.217		0.25181893521694176 | 0.5975975726611344

 R  63 G  48    334     207.24     71.038		0.24181893521694175 | 0.5975975726611344

 R  63 G  49    336     208.68     71.984		0.2718189352169418 | 0.5475975726611344

 R  63 G  50    332     217.22     75.918		0.2718189352169418 | 0.5975975726611344

 R  63 G  51    330      217.9     74.357		0.25181893521694176 | 0.5775975726611344

 R  63 G  52    334      196.4     73.889		0.25181893521694176 | 0.5875975726611344

 R  63 G  53    334     214.58     79.497		0.25181893521694176 | 0.5775975726611344

 R  63 G  54    334     210.86     77.986		0.25181893521694176 | 0.5775975726611344

 R  63 G  55    340     192.44     79.365		0.25181893521694176 | 0.5775975726611344

 R  63 G  56    334     208.26     71.392		0.25181893521694176 | 0.5775975726611344

 R  63 G  57    334     223.34     69.801		0.25181893521694176 | 0.5775975726611344

 R  63 G  58    336     205.86     78.498		0.2618189352169418 | 0.5875975726611344

 R  63 G  59    338     212.56     89.326		0.25181893521694176 | 0.5875975726611344

 R  63 G  60    340     209.34     83.053		0.24181893521694175 | 0.5975975726611344

 R  63 G  61    334      217.9     72.256		0.2618189352169418 | 0.5875975726611344

 R  63 G  62    334     199.66     77.127		0.25181893521694176 | 0.5875975726611344

 R  63 G  63    336     209.46      79.56		0.24181893521694175 | 0.5775975726611344

 R  63 G  64    338     194.04     66.914		0.25181893521694176 | 0.5675975726611344

 R  63 G  65    334     215.54     72.108		0.24181893521694175 | 0.5975975726611344

 R  63 G  66    332     203.74     80.246		0.2618189352169418 | 0.5975975726611344

 R  63 G  67    334     206.96     73.022		0.23181893521694175 | 0.5875975726611344

 R  63 G  68    338     205.56     76.843		0.25181893521694176 | 0.6275975726611345

 R  63 G  69    330     218.46     67.767		0.24181893521694175 | 0.5775975726611344

 R  63 G  70    342     221.34     69.358		0.25181893521694176 | 0.6275975726611345

 R  63 G  71    338     203.98     84.711		0.25181893521694176 | 0.5975975726611344

 R  63 G  72    338     207.66     78.476		0.25181893521694176 | 0.6075975726611345

 R  63 G  73    332     211.68     72.645		0.24181893521694175 | 0.5675975726611344

 R  63 G  74    338     214.18     69.741		0.24181893521694175 | 0.5875975726611344

 R  63 G  75    330     206.68     77.874		0.25181893521694176 | 0.6175975726611345

 R  63 G  76    336     206.84     72.847		0.25181893521694176 | 0.6375975726611345

 R  63 G  77    334     219.26     70.456		0.2618189352169418 | 0.6075975726611345

 R  63 G  78    338     206.86     81.715		0.25181893521694176 | 0.5975975726611344

 R  63 G  79    334      206.1      69.02		0.24181893521694175 | 0.5775975726611344

 R  63 G  80    334     222.24     76.789		0.25181893521694176 | 0.5875975726611344

 R  63 G  81    336     204.32     77.336		0.24181893521694175 | 0.5775975726611344

 R  63 G  82    330      201.0     75.436		0.2618189352169418 | 0.5975975726611344

 R  63 G  83    336     212.34     73.277		0.25181893521694176 | 0.6075975726611345

 R  63 G  84    336      213.3     83.168		0.24181893521694175 | 0.5775975726611344

 R  63 G  85    338     202.38     85.894		0.25181893521694176 | 0.6375975726611345

 R  63 G  86    338      215.6     78.388		0.25181893521694176 | 0.6275975726611345

 R  63 G  87    336     219.02     70.322		0.2718189352169418 | 0.6075975726611345

 R  63 G  88    334     206.08     70.454		0.25181893521694176 | 0.6475975726611345

 R  63 G  89    332     216.74     74.209		0.2618189352169418 | 0.6175975726611345

 R  63 G  90    330     201.14     73.496		0.25181893521694176 | 0.6075975726611345

 R  63 G  91    332     205.98     78.049		0.25181893521694176 | 0.6075975726611345

 R  63 G  92    338     215.16       77.7		0.24181893521694175 | 0.5975975726611344

 R  63 G  93    336      215.1     74.483		0.24181893521694175 | 0.6075975726611345

 R  63 G  94    342      212.8     75.236		0.25181893521694176 | 0.5975975726611344

 R  63 G  95    334     202.62     69.906		0.25181893521694176 | 0.6175975726611345

 R  63 G  96    342     197.08     72.406		0.25181893521694176 | 0.5975975726611344

 R  63 G  97    334     212.22      76.93		0.25181893521694176 | 0.5875975726611344

 R  63 G  98    340     212.38     74.802		0.24181893521694175 | 0.6175975726611345

 R  63 G  99    340     206.06      76.67		0.24181893521694175 | 0.6175975726611345

63     0###################### RawFitness
           0          0          348

 R  64 G   0    350     213.66     75.107		0.023342563127370597 | 0.5434175292274117

 R  64 G   1    350     200.18     83.972		0.023342563127370597 | 0.5434175292274117

 R  64 G   2    350      208.6     76.627		0.018702022832787435 | 0.27465003277300104

 R  64 G   3    336     210.32     73.644		0.16628189749107525 | 0.9684789151613493

 R  64 G   4    338     221.62     72.788		0.16628189749107525 | 0.9484789151613493

 R  64 G   5    338     217.88      76.95		0.16628189749107525 | 0.9684789151613493

 R  64 G   6    334     205.02     89.871		0.2804288016315104 | 0.8818317971398446

 R  64 G   7    340     213.18     81.984		0.16628189749107525 | 0.9684789151613493

 R  64 G   8    342     202.78       78.6		0.16132666218988778 | 0.5620666163224008

 R  64 G   9    344     208.66     87.957		0.15132666218988777 | 0.5720666163224009

 R  64 G  10    342     202.44     89.663		0.16628189749107525 | 0.9684789151613493

 R  64 G  11    338     205.56     82.683		0.15628189749107524 | 0.9784789151613493

 R  64 G  12    342     206.42     93.443		0.15132666218988777 | 0.5720666163224009

 R  64 G  13    344      209.8     85.563		0.15628189749107524 | 0.9684789151613493

 R  64 G  14    340     202.26     89.488		0.15628189749107524 | 0.9684789151613493

 R  64 G  15    350     205.04     80.629		0.15628189749107524 | 0.9684789151613493

 R  64 G  16    344     214.48     83.373		0.15628189749107524 | 0.9684789151613493

 R  64 G  17    346     197.98     92.354		0.15628189749107524 | 0.9684789151613493

 R  64 G  18    344     215.54     91.034		0.15628189749107524 | 0.9684789151613493

 R  64 G  19    338     199.06     88.711		0.15628189749107524 | 0.9584789151613493

 R  64 G  20    342     204.28     80.791		0.15628189749107524 | 0.9784789151613493

 R  64 G  21    340     191.56     91.252		0.15628189749107524 | 0.9584789151613493

 R  64 G  22    348     188.08     88.655		0.14628189749107523 | 0.9584789151613493

 R  64 G  23    342      202.9     96.413		0.14628189749107523 | 0.9584789151613493

 R  64 G  24    340     205.84     84.508		0.14628189749107523 | 0.9784789151613493

 R  64 G  25    348     224.18     86.995		0.14628189749107523 | 0.9584789151613493

 R  64 G  26    344     200.68     89.408		0.13628189749107522 | 0.9784789151613493

 R  64 G  27    344     190.36     84.962		0.13628189749107522 | 0.9784789151613493

 R  64 G  28    344     202.24     91.609		0.15628189749107524 | 0.9684789151613493

 R  64 G  29    344     197.54     91.145		0.16628189749107525 | 0.9784789151613493

 R  64 G  30    344      198.1     97.132		0.15628189749107524 | 0.9684789151613493

 R  64 G  31    346     220.12     88.653		0.13628189749107522 | 0.9784789151613493

 R  64 G  32    342     202.82      88.21		0.15628189749107524 | 0.9884789151613493

 R  64 G  33    344     202.72     88.183		0.13628189749107522 | 0.9884789151613493

 R  64 G  34    346      200.2     87.609		0.13628189749107522 | 0.9984789151613493

 R  64 G  35    342      205.1     92.275		0.13628189749107522 | 0.9784789151613493

 R  64 G  36    340     187.68     96.573		0.13628189749107522 | 0.9784789151613493

 R  64 G  37    342     204.36     86.007		0.15628189749107524 | 0.9684789151613493

 R  64 G  38    344     218.48     91.766		0.13628189749107522 | 0.9784789151613493

 R  64 G  39    338     208.34     82.784		0.13628189749107522 | 0.9784789151613493

 R  64 G  40    346      210.5     90.926		0.13628189749107522 | 0.9784789151613493

 R  64 G  41    344     212.66     90.934		0.13628189749107522 | 0.9784789151613493

 R  64 G  42    344     207.66     94.553		0.13628189749107522 | 0.9784789151613493

 R  64 G  43    346     203.78     73.083		0.13628189749107522 | 0.9884789151613493

 R  64 G  44    342     202.72     87.563		0.13628189749107522 | 0.9784789151613493

 R  64 G  45    342     203.66     89.355		0.13628189749107522 | 0.9784789151613493

 R  64 G  46    342     188.94    105.085		0.13628189749107522 | 0.9784789151613493

 R  64 G  47    342      220.7       88.9		0.16628189749107525 | 0.9784789151613493

 R  64 G  48    342     210.02      89.57		0.16628189749107525 | 0.9784789151613493

 R  64 G  49    346     213.68     85.308		0.16628189749107525 | 0.9784789151613493

 R  64 G  50    342     221.34     79.228		0.13628189749107522 | 0.9884789151613493

 R  64 G  51    338     212.54     89.518		0.23333655343464943 | 0.9470062173999463

 R  64 G  52    340     205.28     91.458		0.14628189749107523 | 0.9684789151613493

 R  64 G  53    346     213.18     94.635		0.14628189749107523 | 0.9684789151613493

 R  64 G  54    340      216.4     90.319		0.14628189749107523 | 0.9784789151613493

 R  64 G  55    342     198.74     91.791		0.23333655343464943 | 0.9670062173999463

 R  64 G  56    342     199.08     91.032		0.13628189749107522 | 0.9884789151613493

 R  64 G  57    342     199.88     84.613		0.14628189749107523 | 0.9884789151613493

 R  64 G  58    342     207.66      90.25		0.14628189749107523 | 0.9684789151613493

 R  64 G  59    344     212.42     85.899		0.14628189749107523 | 0.9584789151613493

 R  64 G  60    340      197.4     90.928		0.14628189749107523 | 0.9784789151613493

 R  64 G  61    344     212.74     97.787		0.14628189749107523 | 0.9684789151613493

 R  64 G  62    340     200.48     88.974		0.14628189749107523 | 0.9684789151613493

 R  64 G  63    346     209.64     84.989		0.14628189749107523 | 0.9684789151613493

 R  64 G  64    344     213.18     94.582		0.14628189749107523 | 0.9684789151613493

 R  64 G  65    342     200.56     93.815		0.15628189749107524 | 0.9584789151613493

 R  64 G  66    342     196.34     92.413		0.14628189749107523 | 0.9684789151613493

 R  64 G  67    344     190.86     87.488		0.14628189749107523 | 0.9784789151613493

 R  64 G  68    346     192.62     88.576		0.14628189749107523 | 0.9484789151613493

 R  64 G  69    342     216.42     95.582		0.15628189749107524 | 0.9584789151613493

 R  64 G  70    344     216.62     84.404		0.13628189749107522 | 0.9684789151613493

 R  64 G  71    346     210.66     92.406		0.13628189749107522 | 0.9584789151613493

 R  64 G  72    344     196.46     94.395		0.14628189749107523 | 0.9684789151613493

 R  64 G  73    346     203.56     92.822		0.15628189749107524 | 0.9784789151613493

 R  64 G  74    346     197.48     93.082		0.1262818974910752 | 0.9584789151613493

 R  64 G  75    340     207.04      86.75		0.15628189749107524 | 0.9784789151613493

 R  64 G  76    346     213.36     89.071		0.13628189749107522 | 0.9684789151613493

 R  64 G  77    344     201.08     95.327		0.13628189749107522 | 0.9884789151613493

 R  64 G  78    344     205.78     80.622		0.14628189749107523 | 0.9484789151613493

 R  64 G  79    342     198.28      99.52		0.15628189749107524 | 0.9784789151613493

 R  64 G  80    340     209.94      89.31		0.14628189749107523 | 0.9884789151613493

 R  64 G  81    344      196.6     88.313		0.16628189749107525 | 0.9484789151613493

 R  64 G  82    342     207.38     92.989		0.14628189749107523 | 0.9784789151613493

 R  64 G  83    346     195.56     93.618		0.14628189749107523 | 0.9984789151613493

 R  64 G  84    342     207.64     90.852		0.15628189749107524 | 0.9784789151613493

 R  64 G  85    344     221.14     93.669		0.15628189749107524 | 0.9884789151613493

 R  64 G  86    342     206.76     88.164		0.15628189749107524 | 0.9384789151613493

 R  64 G  87    338      197.7     93.537		0.15628189749107524 | 0.9884789151613493

 R  64 G  88    342     205.42     94.578		0.14628189749107523 | 1.0

 R  64 G  89    348      207.1      92.48		0.17628189749107526 | 0.9684789151613493

 R  64 G  90    344     210.34     91.896		0.13628189749107522 | 1.0

 R  64 G  91    346     212.76     76.861		0.15628189749107524 | 0.9284789151613493

 R  64 G  92    344     215.56    101.213		0.13628189749107522 | 0.9984789151613493

 R  64 G  93    344     211.24     94.001		0.14628189749107523 | 1.0

 R  64 G  94    344      193.2     84.325		0.1262818974910752 | 0.9784789151613493

 R  64 G  95    344     206.18      97.59		0.14628189749107523 | 0.9784789151613493

 R  64 G  96    346     213.62    100.527		0.1262818974910752 | 0.9784789151613493

 R  64 G  97    346      199.7     90.468		0.14628189749107523 | 0.9784789151613493

 R  64 G  98    346     215.36     91.654		0.1262818974910752 | 0.9784789151613493

 R  64 G  99    342     202.46     92.684		0.1262818974910752 | 0.9884789151613493

64     0###################### RawFitness
           0          0          350

 R  65 G   0    344     214.06     64.333		0.10701434156200273 | 0.21824836868548037

 R  65 G   1    340     204.32     71.167		0.06187106989557223 | 0.48545874743526274

 R  65 G   2    334     214.12     65.562		0.13360791518704263 | 0.3683388923262727

 R  65 G   3    342     216.44     61.509		0.06814091886192454 | 0.8536360447010832

 R  65 G   4    348     210.44     64.197		0.07814091886192454 | 0.8436360447010832

 R  65 G   5    346     200.04      73.39		0.07814091886192454 | 0.8536360447010832

 R  65 G   6    346      210.2      64.71		0.07814091886192454 | 0.8536360447010832

 R  65 G   7    346     208.42     61.575		0.07814091886192454 | 0.8536360447010832

 R  65 G   8    350     216.96     64.957		0.07814091886192454 | 0.8536360447010832

 R  65 G   9    348     221.06     82.645		0.07814091886192454 | 0.8536360447010832

 R  65 G  10    350     200.18      79.55		0.07814091886192454 | 0.8536360447010832

 R  65 G  11    346     211.72     72.793		0.06814091886192454 | 0.8536360447010832

 R  65 G  12    346      222.2     68.645		0.07814091886192454 | 0.8536360447010832

 R  65 G  13    344     216.56     61.965		0.07814091886192454 | 0.8536360447010832

 R  65 G  14    350      213.5     76.893		0.05814091886192454 | 0.8536360447010832

 R  65 G  15    338     201.54     61.643		0.08814091886192453 | 0.8536360447010832

 R  65 G  16    350      215.0      72.08		0.07814091886192454 | 0.8536360447010832

 R  65 G  17    348     198.98     73.341		0.09814091886192453 | 0.8636360447010832

 R  65 G  18    346     211.16     78.814		0.08814091886192453 | 0.8636360447010832

 R  65 G  19    348     208.94     74.603		0.08814091886192453 | 0.8636360447010832

 R  65 G  20    346      223.2     83.592		0.09814091886192453 | 0.8536360447010832

 R  65 G  21    348      202.4     83.838		0.08814091886192453 | 0.8536360447010832

 R  65 G  22    346     207.64     79.448		0.07814091886192454 | 0.8436360447010832

 R  65 G  23    348     204.44     77.532		0.08814091886192453 | 0.8636360447010832

 R  65 G  24    348     227.78     68.548		0.08814091886192453 | 0.8736360447010832

 R  65 G  25    346      209.3     78.159		0.08814091886192453 | 0.8636360447010832

 R  65 G  26    344      217.3     65.647		0.09814091886192453 | 0.8736360447010832

 R  65 G  27    344     212.38     68.933		0.09814091886192453 | 0.8736360447010832

 R  65 G  28    348      213.1     67.803		0.08814091886192453 | 0.8636360447010832

 R  65 G  29    344     223.48     51.322		0.09814091886192453 | 0.8736360447010832

 R  65 G  30    274     209.34     54.125		0.7889366799334163 | 0.22675139071980854

 R  65 G  31    348     223.14       67.8		0.09814091886192453 | 0.8736360447010832

 R  65 G  32    348      211.3     71.108		0.09814091886192453 | 0.8736360447010832

 R  65 G  33    344     206.32     69.055		0.09814091886192453 | 0.8636360447010832

 R  65 G  34    334      213.7     59.251		0.08814091886192453 | 0.8736360447010832

 R  65 G  35    344      202.8     65.877		0.08814091886192453 | 0.8736360447010832

 R  65 G  36    342     209.08      55.26		0.08814091886192453 | 0.8736360447010832

 R  65 G  37    344     212.18      66.22		0.08814091886192453 | 0.8736360447010832

 R  65 G  38    348     208.98     63.426		0.08814091886192453 | 0.8736360447010832

 R  65 G  39    344      219.2     64.555		0.08814091886192453 | 0.8736360447010832

 R  65 G  40    344      206.4     75.423		0.09814091886192453 | 0.8836360447010833

 R  65 G  41    344     212.92     74.964		0.08814091886192453 | 0.8736360447010832

 R  65 G  42    340     198.96     69.643		0.08814091886192453 | 0.8736360447010832

 R  65 G  43    344     206.02     67.214		0.09814091886192453 | 0.8836360447010833

 R  65 G  44    346     219.42     55.241		0.09814091886192453 | 0.8836360447010833

 R  65 G  45    340     212.46     60.665		0.08814091886192453 | 0.8836360447010833

 R  65 G  46    342     218.68       61.5		0.09814091886192453 | 0.8836360447010833

 R  65 G  47    346     210.36     63.076		0.09814091886192453 | 0.8836360447010833

 R  65 G  48    342      211.3     64.552		0.09814091886192453 | 0.8836360447010833

 R  65 G  49    340     207.16      55.22		0.10814091886192452 | 0.8836360447010833

 R  65 G  50    348     211.38     55.556		0.10814091886192452 | 0.8836360447010833

 R  65 G  51    344     207.72     59.968		0.10814091886192452 | 0.8836360447010833

 R  65 G  52    348     209.08     59.699		0.10814091886192452 | 0.8936360447010833

 R  65 G  53    342     212.84     57.307		0.10814091886192452 | 0.8836360447010833

 R  65 G  54    276      213.4     52.002		0.8089366799334163 | 0.22675139071980854

 R  65 G  55    280      209.2     55.344		0.8189366799334163 | 0.20675139071980853

 R  65 G  56    284     213.04     53.287		0.8089366799334163 | 0.22675139071980854

 R  65 G  57    280     212.72     51.558		0.7889366799334163 | 0.19675139071980852

 R  65 G  58    282     216.16     51.897		0.7989366799334163 | 0.22675139071980854

 R  65 G  59    278     207.82     53.058		0.7989366799334163 | 0.22675139071980854

 R  65 G  60    278      218.2     53.038		0.8089366799334163 | 0.20675139071980853

 R  65 G  61    282     221.52      51.95		0.8089366799334163 | 0.20675139071980853

