Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348      205.6     73.457		0.10070556186895041 | 0.06107305562731147
 R   3 G  74    258     207.64     53.969		0.9691224113402727 | 0.4129563405688149

 R   3 G  75    260     203.06     58.755		0.9691224113402727 | 0.4229563405688149

 R   3 G  76    258     220.28     49.373		0.9691224113402727 | 0.43295634056881493

 R   3 G  77    258      210.5     52.944		0.9491224113402726 | 0.43295634056881493

 R   3 G  78    260      212.0     57.874		0.9691224113402727 | 0.4229563405688149

 R   3 G  79    260     216.56     53.176		0.9491224113402726 | 0.43295634056881493

 R   3 G  80    260     204.44     62.593		0.9391224113402726 | 0.43295634056881493

 R   3 G  81    264     209.62      57.26		0.9491224113402726 | 0.44295634056881494

 R   3 G  82    260     207.92     59.418		0.9591224113402727 | 0.43295634056881493

 R   3 G  83    262     211.52     54.326		0.9591224113402727 | 0.4229563405688149

 R   3 G  84    260     202.28     58.926		0.9491224113402726 | 0.43295634056881493

 R   3 G  85    260     211.82     54.856		0.9591224113402727 | 0.43295634056881493

 R   3 G  86    260     212.22     60.033		0.9591224113402727 | 0.43295634056881493

 R   3 G  87    258     203.22     59.303		0.9691224113402727 | 0.4229563405688149

 R   3 G  88    260     210.58     54.665		0.9591224113402727 | 0.43295634056881493

 R   3 G  89    262     197.06     63.632		0.9691224113402727 | 0.4229563405688149

 R   3 G  90    260     202.56     58.753		0.9491224113402726 | 0.43295634056881493

 R   3 G  91    260     201.04     60.247		0.9391224113402726 | 0.4129563405688149

 R   3 G  92    262     209.92     55.054		0.9491224113402726 | 0.43295634056881493

 R   3 G  93    260      208.7      56.83		0.9591224113402727 | 0.4029563405688149

 R   3 G  94    258     215.48     53.146		0.9591224113402727 | 0.44295634056881494

 R   3 G  95    262     214.72     57.161		0.9591224113402727 | 0.43295634056881493

 R   3 G  96    260      197.7     61.026		0.9591224113402727 | 0.44295634056881494

 R   3 G  97    260     210.44     56.641		0.9591224113402727 | 0.43295634056881493

 R   3 G  98    262     208.86     61.964		0.9491224113402726 | 0.44295634056881494

 R   3 G  99    262      205.9     60.682		0.9391224113402726 | 0.4229563405688149

3      0###################### RawFitness
           0          0          350

 R   4 G   0    350     210.88     70.909		0.00391084571263145 | 0.025951942301243425

 R   4 G   1    350      210.5     71.524		0.04064650217863075 | 0.22798501684268446

 R   4 G   2    348      194.0     76.315		0.04064650217863075 | 0.22798501684268446

 R   4 G   3    346     188.84     72.176		0.04064650217863075 | 0.22798501684268446

 R   4 G   4    350     203.04     84.705		0.04064650217863075 | 0.22798501684268446

 R   4 G   5    348     207.68     79.205		0.04064650217863075 | 0.22798501684268446

 R   4 G   6    350     218.66     71.663		0.04064650217863075 | 0.21798501684268445

 R   4 G   7    350      200.0     74.799		0.030646502178630748 | 0.22798501684268446

 R   4 G   8    348      207.5      78.34		0.04064650217863075 | 0.22798501684268446

 R   4 G   9    350     215.94     76.307		0.04064650217863075 | 0.21798501684268445

 R   4 G  10    348     211.48     69.761		0.04064650217863075 | 0.21798501684268445

 R   4 G  11    350     185.88     71.554		0.04064650217863075 | 0.21798501684268445

 R   4 G  12    348     193.42      81.36		0.04064650217863075 | 0.21798501684268445

 R   4 G  13    348     197.32     78.475		0.04064650217863075 | 0.21798501684268445

 R   4 G  14    348     197.12      74.54		0.030646502178630748 | 0.21798501684268445

